"",BBK01.XU8836,BBK01.XU8836_FLAGS
"",Germany / Exports / Product Classification for Production Statistics from 2002 / Chemical products / 1 /,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:41,
1995-01,4220386,
1995-02,4204116,
1995-03,4431461,
1995-04,4173334,
1995-05,4409441,
1995-06,4956551,
1995-07,4156913,
1995-08,3984021,
1995-09,4181808,
1995-10,4230475,
1995-11,4307701,
1995-12,3697785,
1996-01,4322037,
1996-02,4233227,
1996-03,4386902,
1996-04,4408517,
1996-05,4687651,
1996-06,4424603,
1996-07,4546400,
1996-08,4059325,
1996-09,4318956,
1996-10,4756273,
1996-11,4474611,
1996-12,3941663,
1997-01,4680135,
1997-02,4570843,
1997-03,4744885,
1997-04,5111175,
1997-05,4999352,
1997-06,5464501,
1997-07,5382594,
1997-08,4704441,
1997-09,5074988,
1997-10,5214205,
1997-11,5364611,
1997-12,5035931,
1998-01,5400496,
1998-02,5103948,
1998-03,5816389,
1998-04,5542278,
1998-05,5302300,
1998-06,5500911,
1998-07,5584232,
1998-08,4323457,
1998-09,5557607,
1998-10,5002959,
1998-11,5115525,
1998-12,4788404,
1999-01,4604519,
1999-02,5583653,
1999-03,5503410,
1999-04,5108496,
1999-05,5364874,
1999-06,5717374,
1999-07,5649360,
1999-08,5220801,
1999-09,5353491,
1999-10,5605261,
1999-11,6164787,
1999-12,5771894,
2000-01,5322391,
2000-02,6175860,
2000-03,7168140,
2000-04,5626106,
2000-05,6660662,
2000-06,6481522,
2000-07,6424892,
2000-08,6211245,
2000-09,6308785,
2000-10,7141752,
2000-11,6856315,
2000-12,6006956,
2001-01,6680473,
2001-02,6911211,
2001-03,6964690,
2001-04,6668213,
2001-05,7885898,
2001-06,6997186,
2001-07,7065082,
2001-08,6997989,
2001-09,6359460,
2001-10,7139770,
2001-11,6824030,
2001-12,5937793,
2002-01,6426518,
2002-02,6505502,
2002-03,7027494,
2002-04,7257812,
2002-05,6234155,
2002-06,7317362,
2002-07,7109280,
2002-08,6678100,
2002-09,6435594,
2002-10,7131757,
2002-11,7039735,
2002-12,6014383,
2003-01,7281028,
2003-02,6991631,
2003-03,7215544,
2003-04,7118385,
2003-05,7086007,
2003-06,7247767,
2003-07,7371233,
2003-08,6853412,
2003-09,8030364,
2003-10,7347501,
2003-11,7090239,
2003-12,6529446,
2004-01,7510846,
2004-02,7438277,
2004-03,8504376,
2004-04,8111788,
2004-05,7982674,
2004-06,8524223,
2004-07,7971138,
2004-08,7711358,
2004-09,8081022,
2004-10,8471207,
2004-11,8436435,
2004-12,7609085,
2005-01,8209448,
2005-02,8361294,
2005-03,8704685,
2005-04,8706557,
2005-05,8558896,
2005-06,9232590,
2005-07,8511351,
2005-08,8591747,
2005-09,9175019,
2005-10,9079062,
2005-11,9066741,
2005-12,8617584,
2006-01,9146997,
2006-02,9312023,
2006-03,10514342,
2006-04,9545716,
2006-05,9327999,
2006-06,10257679,
2006-07,9922516,
2006-08,9767468,
2006-09,10244265,
2006-10,11069272,
2006-11,10947144,
2006-12,9236255,
2007-01,10566618,
2007-02,10414977,
2007-03,11327258,
2007-04,10602383,
2007-05,10518033,
2007-06,10759542,
2007-07,10731184,
2007-08,11039397,
2007-09,10669965,
2007-10,12175984,
2007-11,11677341,
2007-12,9045333,
"",General: 1 Source: Federal Statistical Office.,
