"",BBBP1.A.DE.N.D.P012.X.X.Z5.0000.Z0Z.KP,BBBP1.A.DE.N.D.P012.X.X.Z5.0000.Z0Z.KP_FLAGS
"",,
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-30 12:31:48,
1968,3.15,
1969,3.64,
1970,4.70,
1971,4.51,
1972,4.20,
1973,5.67,comment
1974,6.13,
1975,4.97,
1976,4.46,comment
1977,4.37,
1978,4.11,
1979,4.64,comment
1980,5.86,
1981,6.80,
1982,6.51,
1983,5.34,
1984,5.38,
1985,5.10,comment
1986,4.62,
1987,4.34,
1988,4.30,
1989,4.89,
1990,5.54,
1991,5.92,
1992,6.17,
1993,5.64,
1994,4.89,comment
1995,4.81,
1996,4.42,
1997,4.26,
1998,4.22,
1999,4.05,
2000,4.36,
2001,4.28,
2002,3.63,
2003,3.23,
2004,3.04,
2005,3.20,
2006,3.48,
2007,4.01,
2008,4.11,
2009,2.72,
2010,2.10,
2011,2.27,
2012,1.87,
2013,1.57,Provisional value
