"",BBK01.OEAJ01Q,BBK01.OEAJ01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:01,
2002-01,17.553,
2002-04,17.802,
2002-07,16.788,
2002-10,18.555,
2003-01,18.163,
2003-04,18.480,
2003-07,21.277,
2003-10,20.144,
2004-01,20.987,
2004-04,18.817,
2004-07,19.234,
2004-10,30.873,
2005-01,31.349,
2005-04,31.104,
2005-07,31.902,
2005-10,31.321,
2006-01,30.432,
2006-04,30.405,
2006-07,23.900,
2006-10,25.958,
2007-01,26.024,
2007-04,27.366,
2007-07,28.214,
2007-10,30.608,
2008-01,31.637,
2008-04,35.333,
2008-07,36.009,
2008-10,34.385,
2009-01,39.852,
2009-04,37.608,
2009-07,40.030,
2009-10,38.593,
2010-01,39.644,
2010-04,42.578,
2010-07,42.446,
2010-10,39.661,
2011-01,33.516,
2011-04,32.961,
2011-07,38.441,
2011-10,37.747,
2012-01,37.587,
2012-04,38.857,
2012-07,38.985,
2012-10,39.724,
2013-01,35.630,
2013-04,35.385,
2013-07,34.866,
2013-10,35.719,
2014-01,36.067,
2014-04,36.791,
2014-07,36.622,
