"",BBFB1.Q.N.DE.E14000.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.E14000.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:21,
1991-01,2823.040,
1991-04,1242.117,
1991-07,1172.299,
1991-10,987.601,
1992-01,1370.982,
1992-04,-449.407,
1992-07,2026.873,
1992-10,2565.239,
1993-01,2606.834,
1993-04,-431.653,
1993-07,1560.115,
1993-10,1168.490,
1994-01,-717.790,
1994-04,1749.705,
1994-07,2086.544,
1994-10,3184.643,
1995-01,778.751,
1995-04,3028.274,
1995-07,2571.932,
1995-10,260.858,
1996-01,976.527,
1996-04,887.406,
1996-07,3179.113,
1996-10,3750.746,
1997-01,-1159.493,
1997-04,1944.367,
1997-07,3793.362,
1997-10,96.992,
1998-01,3032.842,
1998-04,4699.103,
1998-07,3845.686,
1998-10,457.078,
1999-01,1353.969,
1999-04,-67.824,
1999-07,2196.829,
1999-10,-704.565,
2000-01,-5145.977,
2000-04,2760.605,
2000-07,177.761,
2000-10,2560.503,
2001-01,152.834,
2001-04,3742.517,
2001-07,892.185,
2001-10,4859.073,
2002-01,-1817.068,
2002-04,3805.662,
2002-07,4925.326,
2002-10,914.312,
2003-01,413.730,
2003-04,2912.761,
2003-07,2428.865,
2003-10,13487.885,
2004-01,14109.540,
2004-04,-1766.951,
2004-07,5924.385,
2004-10,-1529.607,
2005-01,3946.371,
2005-04,-3981.420,
2005-07,4464.526,
2005-10,3269.923,
2006-01,7975.850,
2006-04,5324.939,
2006-07,4527.520,
2006-10,10532.710,
2007-01,9795.059,
2007-04,14494.747,
2007-07,3181.582,
2007-10,5518.626,
2008-01,5810.541,
2008-04,5252.753,
2008-07,1095.157,
2008-10,2822.142,
2009-01,160.470,
2009-04,11836.244,
2009-07,2338.114,
2009-10,-22.595,
2010-01,6534.904,
2010-04,13406.992,
2010-07,4365.669,
2010-10,957.860,
2011-01,2479.799,
2011-04,-1600.300,
2011-07,-1306.839,
2011-10,1573.216,
2012-01,1444.338,
2012-04,5883.121,
2012-07,-26.484,
2012-10,1201.267,
2013-01,4253.351,
2013-04,1523.292,
2013-07,4831.093,
2013-10,2436.427,
2014-01,2382.939,Provisional value
2014-04,5761.177,Provisional value
2014-07,3436.204,Provisional value
2014-10,1364.009,Provisional value
