"",BBK01.OEAH64U,BBK01.OEAH64U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:34,
2002-01,1.976,
2002-04,2.022,
2002-07,2.014,
2002-10,2.043,
2003-01,1.988,
2003-04,1.943,
2003-07,1.877,
2003-10,1.886,
2004-01,1.804,
2004-04,1.725,
2004-07,1.666,
2004-10,1.633,
2005-01,1.580,
2005-04,1.495,
2005-07,1.444,
2005-10,1.453,
2006-01,1.452,
2006-04,1.455,
2006-07,1.528,
2006-10,1.581,
2007-01,1.668,
2007-04,1.731,
2007-07,1.781,
2007-10,1.871,
2008-01,1.915,
2008-04,1.971,
2008-07,2.033,
2008-10,2.070,
2009-01,1.881,
2009-04,1.680,
2009-07,1.475,
2009-10,1.275,
2010-01,1.241,
2010-04,1.213,
2010-07,1.163,
2010-10,1.205,
2011-01,1.227,
2011-04,1.287,
2011-07,1.311,
2011-10,1.363,
2012-01,1.343,
2012-04,1.299,
2012-07,1.260,
2012-10,1.194,
2013-01,1.084,
2013-04,1.005,
2013-07,0.963,
2013-10,0.944,
2014-01,0.905,
2014-04,0.868,
2014-07,0.816,
