"",BBK01.OEYB08N,BBK01.OEYB08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:28,
2002-01,109.302,
2002-04,111.084,
2002-07,111.503,
2002-10,111.099,
2003-01,104.494,
2003-04,99.502,
2003-07,99.541,
2003-10,87.226,
2004-01,88.751,
2004-04,88.625,
2004-07,89.253,
2004-10,87.729,
2005-01,87.747,
2005-04,88.196,
2005-07,89.823,
2005-10,91.096,
2006-01,108.312,
2006-04,108.533,
2006-07,109.993,
2006-10,111.253,
2007-01,108.733,
2007-04,109.576,
2007-07,110.930,
2007-10,110.811,
2008-01,109.026,
2008-04,110.179,
2008-07,90.989,
2008-10,91.841,
2009-01,91.506,
2009-04,92.415,
2009-07,92.886,
2009-10,94.166,
2010-01,94.465,
2010-04,94.661,
2010-07,94.837,
2010-10,94.659,
2011-01,94.412,
2011-04,94.125,
2011-07,94.089,
2011-10,94.197,
2012-01,94.210,
2012-04,94.465,
2012-07,94.869,
2012-10,93.615,
2013-01,91.955,
2013-04,91.635,
2013-07,87.143,
2013-10,86.593,
2014-01,85.975,
2014-04,85.845,
2014-07,85.909,
