"",BBK01.OEAD35H,BBK01.OEAD35H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:56,
2002-01,1.882,
2002-04,1.869,
2002-07,1.831,
2002-10,1.822,
2003-01,1.755,
2003-04,1.719,
2003-07,1.655,
2003-10,1.677,
2004-01,1.635,
2004-04,1.624,
2004-07,1.594,
2004-10,1.585,
2005-01,1.540,
2005-04,1.548,
2005-07,1.533,
2005-10,1.570,
2006-01,1.517,
2006-04,1.506,
2006-07,1.506,
2006-10,1.554,
2007-01,1.556,
2007-04,1.607,
2007-07,1.621,
2007-10,1.680,
2008-01,1.690,
2008-04,1.794,
2008-07,1.771,
2008-10,1.804,
2009-01,1.756,
2009-04,1.845,
2009-07,1.861,
2009-10,1.795,
2010-01,1.637,
2010-04,1.769,
2010-07,1.771,
2010-10,1.811,
2011-01,1.828,
2011-04,1.807,
2011-07,1.807,
2011-10,1.806,
2012-01,1.806,
2012-04,1.780,
2012-07,1.762,
2012-10,1.789,
2013-01,1.781,
2013-04,1.816,
2013-07,1.812,
2013-10,1.823,
2014-01,1.781,
2014-04,1.769,
2014-07,1.802,
