"",BBK01.OEXL04I,BBK01.OEXL04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:06,
2002-01,1.672,
2002-04,1.526,
2002-07,1.491,
2002-10,1.384,
2003-01,1.285,
2003-04,1.147,
2003-07,0.809,
2003-10,0.722,
2004-01,0.626,
2004-04,0.584,
2004-07,0.532,
2004-10,0.458,
2005-01,0.411,
2005-04,0.425,
2005-07,0.406,
2005-10,0.615,
2006-01,0.440,
2006-04,0.439,
2006-07,0.549,
2006-10,1.197,
2007-01,1.148,
2007-04,1.170,
2007-07,1.254,
2007-10,1.389,
2008-01,1.631,
2008-04,1.806,
2008-07,1.970,
2008-10,2.074,
2009-01,1.431,
2009-04,1.051,
2009-07,0.682,
2009-10,0.368,
2010-01,0.395,
2010-04,0.460,
2010-07,0.348,
2010-10,0.338,
2011-01,0.598,
2011-04,1.050,
2011-07,1.494,
2011-10,1.825,
2012-01,2.086,
2012-04,1.926,
2012-07,1.873,
2012-10,1.566,
2013-01,1.124,
2013-04,0.885,
2013-07,0.630,
2013-10,0.570,
2014-01,0.442,
2014-04,0.390,
2014-07,0.395,
