"",BBK01.OECI03I,BBK01.OECI03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:33,
2002-01,5.814,
2002-04,5.428,
2002-07,4.546,
2002-10,4.859,
2003-01,5.451,
2003-04,4.809,
2003-07,4.355,
2003-10,3.857,
2004-01,3.324,
2004-04,2.769,
2004-07,2.267,
2004-10,2.536,
2005-01,3.014,
2005-04,2.719,
2005-07,2.623,
2005-10,3.040,
2006-01,3.571,
2006-04,4.658,
2006-07,4.524,
2006-10,4.211,
2007-01,4.233,
2007-04,4.559,
2007-07,4.959,
2007-10,6.463,
2008-01,6.004,
2008-04,6.538,
2008-07,6.652,
2008-10,6.813,
2009-01,5.911,
2009-04,6.264,
2009-07,5.453,
2009-10,4.082,
2010-01,5.219,
2010-04,4.396,
2010-07,4.554,
2010-10,2.975,
2011-01,4.118,
2011-04,3.885,
2011-07,4.410,
2011-10,3.689,
2012-01,4.248,
2012-04,5.126,
2012-07,3.712,
2012-10,2.235,
2013-01,3.850,
2013-04,5.893,
2013-07,4.848,
2013-10,3.720,
2014-01,4.166,
2014-04,4.463,
2014-07,3.919,
