"",BBK01.OEAB13N,BBK01.OEAB13N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:31,
2002-01,88.843,
2002-04,89.393,
2002-07,89.700,
2002-10,89.447,
2003-01,88.566,
2003-04,87.775,
2003-07,87.576,
2003-10,85.763,
2004-01,84.621,
2004-04,84.607,
2004-07,84.599,
2004-10,82.502,
2005-01,82.852,
2005-04,82.899,
2005-07,82.909,
2005-10,83.442,
2006-01,85.543,
2006-04,86.148,
2006-07,86.309,
2006-10,86.413,
2007-01,86.049,
2007-04,86.194,
2007-07,85.534,
2007-10,85.982,
2008-01,86.106,
2008-04,86.819,
2008-07,87.182,
2008-10,87.245,
2009-01,86.936,
2009-04,88.448,
2009-07,88.861,
2009-10,88.870,
2010-01,88.764,
2010-04,89.729,
2010-07,90.002,
2010-10,89.995,
2011-01,90.005,
2011-04,90.451,
2011-07,90.833,
2011-10,91.839,
2012-01,91.807,
2012-04,82.119,
2012-07,82.415,
2012-10,82.630,
2013-01,82.573,
2013-04,82.865,
2013-07,83.520,
2013-10,83.555,
2014-01,83.688,
2014-04,83.680,
2014-07,83.907,
