"",BBFN1.M.DE.N.1.A.TH.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TH.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Thailand,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:32,
1975-12,0.002,
1976-01,0.002,
1976-02,0.002,
1976-03,0.002,
1976-04,0.002,
1976-05,0.003,
1976-06,0.003,
1976-07,0.003,
1976-08,0.005,
1976-09,0.003,
1976-10,0.003,
1976-11,0.003,
1976-12,0.002,
1977-01,0.002,
1977-02,0.002,
1977-03,0.002,
1977-04,0.002,
1977-05,0.002,
1977-06,0.003,
1977-07,0.004,
1977-08,0.004,
1977-09,0.004,
1977-10,0.003,
1977-11,0.004,
1977-12,0.004,
1978-01,0.003,
1978-02,0.002,
1978-03,0.002,
1978-04,0.001,
1978-05,0.001,
1978-06,0.002,
1978-07,0.002,
1978-08,0.002,
1978-09,0.003,
1978-10,0.003,
1978-11,0.002,
1978-12,0.003,
1979-01,0.002,
1979-02,0.003,
1979-03,0.003,
1979-04,0.003,
1979-05,0.004,
1979-06,0.004,
1979-07,0.004,
1979-08,0.003,
1979-09,0.003,
1979-10,0.004,
1979-11,0.003,
1979-12,0.003,
1980-01,0.005,
1980-02,0.005,
1980-03,0.006,
1980-04,0.006,
1980-05,0.006,
1980-06,0.005,
1980-07,0.005,
1980-08,0.005,
1980-09,0.005,
1980-10,0.005,
1980-11,0.004,
1980-12,0.002,
1981-01,0.001,
1981-02,0.004,
1981-03,0.004,
1981-04,0.005,
1981-05,0.005,
1981-06,0.005,
1981-07,0.004,
1981-08,0.003,
1981-09,0.003,
1981-10,0.003,
1981-11,0.003,
1981-12,0.006,
1982-01,0.005,
1982-02,0.007,
1982-03,0.007,
1982-04,0.008,
1982-05,0.008,
1982-06,0.008,
1982-07,0.008,
1982-08,0.008,
1982-09,0.008,
1982-10,0.007,
1982-11,0.012,
1982-12,0.013,
1983-01,0.013,
1983-02,0.012,
1983-03,0.015,
1983-04,0.014,
1983-05,0.015,
1983-06,0.006,
1983-07,0.007,
1983-08,0.006,
1983-09,0.007,
1983-10,0.007,
1983-11,0.007,
1983-12,0.008,
1984-01,0.008,
1984-02,0.009,
1984-03,0.010,
1984-04,0.009,
1984-05,0.012,
1984-06,0.012,
1984-07,0.012,
1984-08,0.011,
1984-09,0.010,
1984-10,0.011,
1984-11,0.011,
1984-12,0.008,
1985-01,0.006,
1985-02,0.007,
1985-03,0.007,
1985-04,0.007,
1985-05,0.007,
1985-06,0.007,
1985-07,0.008,
1985-08,0.009,
1985-09,0.010,
1985-10,0.008,
1985-11,0.008,
1985-12,0.008,
1986-01,0.007,
1986-02,0.006,
1986-03,0.007,
1986-04,0.006,
1986-05,0.007,
1986-06,0.007,
1986-07,0.007,
1986-08,0.008,
1986-09,0.008,
1986-10,0.007,
1986-11,0.005,
1986-12,0.005,
1987-01,0.005,
1987-02,0.005,
1987-03,0.005,
1987-04,0.005,
1987-05,0.005,
1987-06,0.004,
1987-07,0.004,
1987-08,0.004,
1987-09,0.005,
1987-10,0.005,
1987-11,0.005,
1987-12,0.005,
1988-01,0.006,
1988-02,0.006,
1988-03,0.006,
1988-04,0.006,
1988-05,0.006,
1988-06,0.005,
1988-07,0.004,
1988-08,0.006,
1988-09,0.005,
1988-10,0.005,
1988-11,0.005,
1988-12,0.004,
1989-01,0.005,
1989-02,0.005,
1989-03,0.006,
1989-04,0.005,
1989-05,0.006,
1989-06,0.005,
1989-07,0.005,
1989-08,0.007,
1989-09,0.005,
1989-10,0.005,
1989-11,0.005,
1989-12,0.005,
1990-01,0.005,
1990-02,0.005,
1990-03,0.005,
1990-04,0.005,
1990-05,0.005,
1990-06,0.005,
1990-07,0.006,
1990-08,0.007,
1990-09,0.007,
1990-10,0.007,
1990-11,0.010,
1990-12,0.012,
1991-01,0.012,
1991-02,0.011,
1991-03,0.011,
1991-04,0.012,
1991-05,0.011,
1991-06,0.013,
1991-07,0.020,
1991-08,0.020,
1991-09,0.021,
1991-10,0.021,
1991-11,0.025,
1991-12,0.030,
1992-01,0.032,
1992-02,0.028,
1992-03,0.029,
1992-04,0.032,
1992-05,0.031,
1992-06,0.030,
1992-07,0.038,
1992-08,0.041,
1992-09,0.043,
1992-10,0.043,
1992-11,0.043,
1992-12,0.039,
1993-01,0.047,
1993-02,0.047,
1993-03,0.037,
1993-04,0.030,
1993-05,0.032,
1993-06,0.032,
1993-07,0.033,
1993-08,0.034,
1993-09,0.037,
1993-10,0.036,
1993-11,0.037,
1993-12,0.041,
1994-01,0.048,
1994-02,0.057,
1994-03,0.060,
1994-04,0.057,
1994-05,0.045,
1994-06,0.051,
1994-07,0.074,
1994-08,0.070,
1994-09,0.073,
1994-10,0.059,
1994-11,0.062,
1994-12,0.064,
1995-01,0.089,
1995-02,0.086,
1995-03,0.092,
1995-04,0.090,
1995-05,0.097,
1995-06,0.105,
1995-07,0.099,
1995-08,0.105,
1995-09,0.102,
1995-10,0.112,
1995-11,0.110,
1995-12,0.119,
1996-01,0.133,
1996-02,0.118,
1996-03,0.116,
1996-04,0.109,
1996-05,0.127,
1996-06,0.126,
1996-07,0.148,
1996-08,0.164,
1996-09,0.166,
1996-10,0.153,
1996-11,0.176,
1996-12,0.190,
1997-01,0.186,
1997-02,0.191,
1997-03,0.201,
1997-04,0.196,
1997-05,0.167,
1997-06,0.117,
1997-07,0.136,
1997-08,0.180,
1997-09,0.197,
1997-10,0.217,
1997-11,0.216,
1997-12,0.248,
1998-01,0.245,
1998-02,0.246,
1998-03,0.230,
1998-04,0.206,
1998-05,0.187,
1998-06,0.208,
1998-07,0.216,
1998-08,0.173,
1998-09,0.171,
1998-10,0.180,
1998-11,0.198,
1998-12,0.172,
1999-01,0.171,
1999-02,0.180,
1999-03,0.225,
1999-04,0.282,
1999-05,0.236,
1999-06,0.233,
1999-07,0.233,
1999-08,0.226,
1999-09,0.224,
1999-10,0.207,
1999-11,0.256,
1999-12,0.232,
2000-01,0.255,
2000-02,0.274,
2000-03,0.272,
2000-04,0.260,
2000-05,0.263,
2000-06,0.217,
2000-07,0.214,
2000-08,0.204,
2000-09,0.224,
2000-10,0.211,
2000-11,0.226,
2000-12,0.225,
2001-01,0.235,
2001-02,0.232,
2001-03,0.232,
2001-04,0.310,
2001-05,0.309,
2001-06,0.327,
2001-07,0.324,
2001-08,0.324,
2001-09,0.315,
2001-10,0.298,
2001-11,0.305,
2001-12,0.287,
2002-01,0.315,
2002-02,0.413,
2002-03,0.320,
2002-04,0.221,
2002-05,0.217,
2002-06,0.287,
2002-07,0.290,
2002-08,0.292,
2002-09,0.290,
2002-10,0.291,
2002-11,0.292,
2002-12,0.284,
2003-01,0.299,
2003-02,0.281,
2003-03,0.279,
2003-04,0.278,
2003-05,0.288,
2003-06,0.289,
2003-07,0.287,
2003-08,0.281,
2003-09,0.299,
2003-10,0.300,
2003-11,0.297,
2003-12,0.294,
2004-01,0.287,
2004-02,0.290,
2004-03,0.291,
2004-04,0.292,
2004-05,0.297,
2004-06,0.290,
2004-07,0.289,
2004-08,0.292,
2004-09,0.289,
2004-10,0.302,
2004-11,0.288,
2004-12,0.312,
2005-01,0.294,
2005-02,0.305,
2005-03,0.519,
2005-04,0.519,
2005-05,0.566,
2005-06,0.304,
2005-07,0.313,
2005-08,0.305,
2005-09,0.277,
2005-10,0.299,
2005-11,0.307,
2005-12,0.322,
2006-01,0.321,
2006-02,0.350,
2006-03,0.335,
2006-04,0.336,
2006-05,0.348,
2006-06,0.322,
2006-07,0.322,
2006-08,0.332,
2006-09,0.310,
2006-10,0.305,
2006-11,0.298,
2006-12,0.312,
2007-01,0.318,
2007-02,0.322,
2007-03,0.353,
2007-04,0.358,
2007-05,0.370,
2007-06,0.371,
2007-07,0.382,
2007-08,0.384,
2007-09,0.386,
2007-10,0.335,
2007-11,0.334,
2007-12,0.328,
2008-01,0.331,
2008-02,0.340,
2008-03,0.332,
2008-04,0.331,
2008-05,0.327,
2008-06,0.365,
2008-07,0.171,
2008-08,0.196,
2008-09,0.176,
2008-10,0.174,
2008-11,0.180,
2008-12,0.165,
2009-01,0.163,
2009-02,0.159,
2009-03,0.154,
2009-04,0.154,
2009-05,0.150,
2009-06,0.153,
2009-07,0.165,
2009-08,0.154,
2009-09,0.157,
2009-10,0.140,
2009-11,0.138,
2009-12,0.149,
2010-01,0.166,
2010-02,0.568,
2010-03,0.160,
2010-04,0.168,
2010-05,0.173,
2010-06,0.158,
2010-07,0.151,
2010-08,0.145,
