"",BBFB1.Q.N.DE.IE.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:42,
1991-01,-1.769,
1991-04,1.361,
1991-07,-2.394,
1991-10,200.633,
1992-01,-50.254,
1992-04,29.022,
1992-07,-5.809,
1992-10,9.038,
1993-01,64.579,
1993-04,40.783,
1993-07,15.011,
1993-10,35.195,
1994-01,220.225,
1994-04,-54.523,
1994-07,14.163,
1994-10,36.434,
1995-01,-36.675,
1995-04,4.058,
1995-07,-1.693,
1995-10,-16.903,
1996-01,24.534,
1996-04,55.500,
1996-07,52.910,
1996-10,68.167,
1997-01,-6.971,
1997-04,67.025,
1997-07,95.847,
1997-10,44.351,
1998-01,-125.342,
1998-04,382.754,
1998-07,-76.939,
1998-10,381.693,
1999-01,280.343,
1999-04,603.457,
1999-07,-0.944,
1999-10,366.727,
2000-01,-19.545,
2000-04,5.614,
2000-07,57.918,
2000-10,316.807,
2001-01,177.157,
2001-04,888.945,
2001-07,-1112.899,
2001-10,956.004,
2002-01,3487.726,
2002-04,-358.063,
2002-07,-183.812,
2002-10,-151.399,
2003-01,284.607,
2003-04,-239.989,
2003-07,817.507,
2003-10,315.305,
2004-01,150.115,
2004-04,-1876.856,
2004-07,2368.681,
2004-10,684.893,
2005-01,-298.733,
2005-04,16.315,
2005-07,1971.148,
2005-10,5478.155,
2006-01,3945.318,
2006-04,45.734,
2006-07,-1778.073,
2006-10,962.607,
2007-01,176.523,
2007-04,537.228,
2007-07,-799.297,
2007-10,-547.515,
2008-01,258.305,
2008-04,36.077,
2008-07,-97.382,
2008-10,360.163,
2009-01,-156.456,
2009-04,-2312.473,
2009-07,-1238.245,
2009-10,593.975,
2010-01,1666.971,
2010-04,-542.853,
2010-07,1942.906,
2010-10,-395.587,
2011-01,-712.698,
2011-04,258.609,
2011-07,-739.483,
2011-10,-185.332,
2012-01,-745.173,
2012-04,-34.745,
2012-07,0.618,
2012-10,1459.155,
2013-01,65.724,
2013-04,-995.700,
2013-07,-725.211,
2013-10,639.220,
2014-01,319.623,Provisional value
2014-04,158.108,Provisional value
2014-07,-39.377,Provisional value
2014-10,338.740,Provisional value
