"",BBK01.TQ7017,BBK01.TQ7017_FLAGS
"",Deposit takers - Gross liability position in financial derivatives to capital                             FSI-I017,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:33,
2005-10,874.82,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,723.33,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,852.42,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,1458.52,
2009-01,.,No value available
2009-04,926.89,
2009-07,.,No value available
2009-10,795.46,
2010-01,.,No value available
2010-04,1008.02,
2010-07,.,No value available
2010-10,825.90,
2011-01,.,No value available
2011-04,736.69,
2011-07,.,No value available
2011-10,1085.46,
2012-01,.,No value available
2012-04,1093.41,
2012-07,.,No value available
2012-10,951.32,
2013-01,.,No value available
2013-04,797.30,
2013-07,.,No value available
2013-10,654.24,
2014-01,.,No value available
2014-04,630.63,
