"",BBDP1.M.DE.N.VPI.C.NRGY00.I10.A,BBDP1.M.DE.N.VPI.C.NRGY00.I10.A_FLAGS
"",Consumer price index / Germany / Unadjusted figure / Energy (household energy and fuels),
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 14:50:04,
1991-01,49.1,
1991-02,49.0,
1991-03,47.1,
1991-04,47.6,
1991-05,48.3,
1991-06,48.3,
1991-07,51.8,
1991-08,51.7,
1991-09,52.2,
1991-10,54.0,
1991-11,54.1,
1991-12,53.2,
1992-01,52.3,
1992-02,52.8,
1992-03,52.6,
1992-04,52.8,
1992-05,53.2,
1992-06,53.2,
1992-07,52.8,
1992-08,52.7,
1992-09,52.7,
1992-10,52.8,
1992-11,53.1,
1992-12,52.8,
1993-01,53.5,
1993-02,53.5,
1993-03,53.7,
1993-04,53.9,
1993-05,53.6,
1993-06,53.5,
1993-07,53.6,
1993-08,53.4,
1993-09,53.1,
1993-10,53.4,
1993-11,53.5,
1993-12,52.8,
1994-01,55.0,
1994-02,55.3,
1994-03,55.0,
1994-04,55.3,
1994-05,55.4,
1994-06,55.4,
1994-07,55.2,
1994-08,56.0,
1994-09,55.2,
1994-10,55.2,
1994-11,55.3,
1994-12,55.2,
1995-01,55.0,
1995-02,55.0,
1995-03,54.8,
1995-04,55.0,
1995-05,55.0,
1995-06,55.2,
1995-07,54.4,
1995-08,54.5,
1995-09,54.9,
1995-10,54.6,
1995-11,54.6,
1995-12,55.0,
1996-01,54.3,
1996-02,54.6,
1996-03,54.7,
1996-04,55.3,
1996-05,55.2,
1996-06,54.7,
1996-07,54.8,
1996-08,55.0,
1996-09,56.0,
1996-10,56.6,
1996-11,56.4,
1996-12,56.6,
1997-01,57.3,
1997-02,56.9,
1997-03,56.7,
1997-04,56.5,
1997-05,56.5,
1997-06,56.3,
1997-07,56.4,
1997-08,57.5,
1997-09,57.3,
1997-10,57.4,
1997-11,57.0,
1997-12,56.9,
1998-01,56.0,
1998-02,55.6,
1998-03,55.3,
1998-04,55.6,
1998-05,55.3,
1998-06,55.0,
1998-07,55.2,
1998-08,55.0,
1998-09,54.7,
1998-10,54.6,
1998-11,54.4,
1998-12,53.8,
1999-01,53.6,
1999-02,53.3,
1999-03,54.0,
1999-04,57.3,
1999-05,56.6,
1999-06,57.3,
1999-07,58.3,
1999-08,59.0,
1999-09,59.4,
1999-10,59.3,
1999-11,59.3,
1999-12,60.4,
2000-01,61.5,
2000-02,62.0,
2000-03,63.6,
2000-04,62.5,
2000-05,62.9,
2000-06,65.4,
2000-07,65.7,
2000-08,65.7,
2000-09,69.3,
2000-10,68.5,
2000-11,69.0,
2000-12,68.0,
2001-01,67.4,
2001-02,69.3,
2001-03,69.2,
2001-04,70.1,
2001-05,71.7,
2001-06,71.2,
2001-07,69.6,
2001-08,69.3,
2001-09,70.2,
2001-10,68.0,
2001-11,66.8,
2001-12,66.2,
2002-01,67.6,
2002-02,68.0,
2002-03,69.3,
2002-04,70.6,
2002-05,69.9,
2002-06,69.2,
2002-07,69.2,
2002-08,69.4,
2002-09,70.0,
2002-10,70.3,
2002-11,68.7,
2002-12,69.0,
2003-01,72.3,
2003-02,73.8,
2003-03,74.4,
2003-04,72.0,
2003-05,70.7,
2003-06,71.1,
2003-07,71.3,
2003-08,72.2,
2003-09,71.7,
2003-10,71.8,
2003-11,71.5,
2003-12,71.5,
2004-01,72.2,
2004-02,72.0,
2004-03,72.8,
2004-04,73.9,
2004-05,75.9,
2004-06,74.6,
2004-07,75.5,
2004-08,76.6,
2004-09,76.2,
2004-10,78.7,
2004-11,76.6,
2004-12,74.8,
2005-01,76.1,
2005-02,76.7,
2005-03,78.7,
2005-04,80.3,
2005-05,80.1,
2005-06,81.8,
2005-07,83.8,
2005-08,84.8,
2005-09,87.2,
2005-10,87.8,
2005-11,85.1,
2005-12,85.2,
2006-01,87.4,
2006-02,87.6,
2006-03,87.9,
2006-04,90.3,
2006-05,90.7,
2006-06,91.2,
2006-07,92.0,
2006-08,91.6,
2006-09,88.6,
2006-10,88.3,
2006-11,87.9,
2006-12,87.8,
2007-01,89.1,
2007-02,89.8,
2007-03,91.1,
2007-04,92.1,
2007-05,92.6,
2007-06,92.8,
2007-07,93.6,
2007-08,92.6,
2007-09,93.8,
2007-10,93.6,
2007-11,97.3,
2007-12,95.3,
2008-01,97.4,
2008-02,97.7,
2008-03,100.0,
2008-04,100.9,
2008-05,104.4,
2008-06,106.4,
2008-07,107.8,
2008-08,104.6,
