"",BBK01.OEAH62S,BBK01.OEAH62S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:27,
2002-01,0.006,
2002-04,0.007,
2002-07,0.006,
2002-10,0.007,
2003-01,0.003,
2003-04,0.006,
2003-07,0.009,
2003-10,0.007,
2004-01,0.011,
2004-04,0.007,
2004-07,0.008,
2004-10,0.008,
2005-01,0.033,
2005-04,0.033,
2005-07,0.033,
2005-10,0.031,
2006-01,0.034,
2006-04,0.037,
2006-07,0.039,
2006-10,0.037,
2007-01,0.038,
2007-04,0.039,
2007-07,0.044,
2007-10,0.067,
2008-01,0.076,
2008-04,0.078,
2008-07,0.095,
2008-10,0.098,
2009-01,0.096,
2009-04,0.093,
2009-07,0.080,
2009-10,0.065,
2010-01,0.058,
2010-04,0.057,
2010-07,0.052,
2010-10,0.050,
2011-01,0.047,
2011-04,0.046,
2011-07,0.031,
2011-10,0.049,
2012-01,0.056,
2012-04,0.055,
2012-07,0.053,
2012-10,0.035,
2013-01,0.025,
2013-04,0.027,
2013-07,0.023,
2013-10,0.024,
2014-01,0.021,
2014-04,0.019,
2014-07,0.018,
