"",BBK01.TQ7131,BBK01.TQ7131_FLAGS
"",Deposit takers - Gross asset position in financial derivatives                                        FSI-S310,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-23 10:06:26,
2005-10,637145,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,555538,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,669539,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,1382682,
2009-01,.,No value available
2009-04,.,No value available
2009-07,.,No value available
2009-10,894602,
2010-01,.,No value available
2010-04,.,No value available
2010-07,.,No value available
2010-10,991747,
2011-01,.,No value available
2011-04,.,No value available
2011-07,.,No value available
2011-10,1254095,
2012-01,.,No value available
2012-04,.,No value available
2012-07,.,No value available
2012-10,1122194,
2013-01,.,No value available
2013-04,875452,
2013-07,.,No value available
2013-10,723103,
2014-01,.,No value available
2014-04,697697,
