"",BBK01.OEAI04H,BBK01.OEAI04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:23,
2002-01,59.646,
2002-04,55.183,
2002-07,56.156,
2002-10,52.472,
2003-01,52.866,
2003-04,50.214,
2003-07,48.096,
2003-10,48.852,
2004-01,48.292,
2004-04,46.164,
2004-07,45.794,
2004-10,49.813,
2005-01,45.047,
2005-04,44.929,
2005-07,46.035,
2005-10,47.267,
2006-01,48.604,
2006-04,49.468,
2006-07,55.927,
2006-10,57.510,
2007-01,65.671,
2007-04,67.914,
2007-07,81.613,
2007-10,93.272,
2008-01,95.878,
2008-04,102.444,
2008-07,109.528,
2008-10,103.881,
2009-01,89.698,
2009-04,94.651,
2009-07,76.778,
2009-10,68.158,
2010-01,70.531,
2010-04,67.943,
2010-07,67.816,
2010-10,62.749,
2011-01,59.737,
2011-04,66.941,
2011-07,75.652,
2011-10,78.684,
2012-01,68.207,
2012-04,67.805,
2012-07,68.540,
2012-10,60.720,
2013-01,62.622,
2013-04,67.294,
2013-07,45.173,
2013-10,47.903,
2014-01,48.233,
2014-04,46.600,
2014-07,46.421,
