"",BBFB1.Q.N.DE.E1.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:13,
1991-01,9116.004,
1991-04,10882.411,
1991-07,10408.361,
1991-10,10670.675,
1992-01,10830.422,
1992-04,11669.110,
1992-07,11833.761,
1992-10,12135.867,
1993-01,12544.304,
1993-04,13031.405,
1993-07,12463.684,
1993-10,12491.811,
1994-01,12633.181,
1994-04,12975.137,
1994-07,12949.724,
1994-10,13634.990,
1995-01,13494.827,
1995-04,14461.408,
1995-07,14034.392,
1995-10,14605.517,
1996-01,13119.290,
1996-04,14317.361,
1996-07,16732.250,
1996-10,14598.582,
1997-01,15604.425,
1997-04,17420.297,
1997-07,16382.500,
1997-10,17585.119,
1998-01,16438.488,
1998-04,19388.583,
1998-07,18542.256,
1998-10,19127.766,
1999-01,18927.957,
1999-04,22629.007,
1999-07,21955.979,
1999-10,24773.216,
2000-01,21690.991,
2000-04,26905.939,
2000-07,27529.939,
2000-10,27550.681,
2001-01,24677.155,
2001-04,26595.578,
2001-07,23824.456,
2001-10,23769.130,
2002-01,26025.238,
2002-04,29249.961,
2002-07,27459.127,
2002-10,27040.207,
2003-01,25786.108,
2003-04,30582.662,
2003-07,26908.386,
2003-10,26896.277,
2004-01,27664.572,
2004-04,31221.789,
2004-07,27597.579,
2004-10,28288.404,
2005-01,28731.711,
2005-04,34110.827,
2005-07,30691.332,
2005-10,31096.935,
2006-01,31131.789,
2006-04,39032.814,
2006-07,33544.404,
2006-10,35515.224,
2007-01,40393.543,
2007-04,52792.485,
2007-07,41161.072,
2007-10,38879.558,
2008-01,32640.777,
2008-04,46758.947,
2008-07,34822.288,
2008-10,29596.801,
2009-01,25295.555,
2009-04,32795.062,
2009-07,22484.929,
2009-10,23035.629,
2010-01,26657.877,
2010-04,38006.196,
2010-07,29638.965,
2010-10,30294.889,
2011-01,28696.844,
2011-04,40404.493,
2011-07,28484.495,
2011-10,28248.149,
2012-01,27709.762,
2012-04,36671.950,
2012-07,27242.148,
2012-10,26825.259,
2013-01,26139.337,
2013-04,33083.809,
2013-07,26994.199,
2013-10,25252.429,
2014-01,24887.142,Provisional value
2014-04,36107.967,Provisional value
2014-07,25469.040,Provisional value
