"",BBK01.OELB08U,BBK01.OELB08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:43,
2002-01,2.020,
2002-04,2.003,
2002-07,2.006,
2002-10,2.008,
2003-01,1.955,
2003-04,1.950,
2003-07,1.952,
2003-10,1.944,
2004-01,1.913,
2004-04,1.912,
2004-07,1.904,
2004-10,2.011,
2005-01,1.934,
2005-04,1.920,
2005-07,1.912,
2005-10,1.919,
2006-01,1.910,
2006-04,1.915,
2006-07,1.937,
2006-10,1.893,
2007-01,1.882,
2007-04,1.884,
2007-07,1.895,
2007-10,1.906,
2008-01,1.898,
2008-04,1.913,
2008-07,1.921,
2008-10,1.923,
2009-01,1.917,
2009-04,1.943,
2009-07,1.954,
2009-10,1.979,
2010-01,1.970,
2010-04,2.104,
2010-07,2.116,
2010-10,2.160,
2011-01,2.173,
2011-04,2.214,
2011-07,2.250,
2011-10,2.284,
2012-01,2.292,
2012-04,2.675,
2012-07,2.723,
2012-10,2.764,
2013-01,2.764,
2013-04,2.815,
2013-07,2.875,
2013-10,2.931,
2014-01,2.949,
2014-04,2.987,
2014-07,3.067,
