"",BBK01.CEH2Q3,BBK01.CEH2Q3_FLAGS
"",Currency and deposits (consolidated) debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:14:33,
1991-01,-3.7,
1991-04,-14.3,
1991-07,-2.4,
1991-10,17.4,
1992-01,-8.8,
1992-04,-11.2,
1992-07,30.9,
1992-10,-12.2,
1993-01,9.6,
1993-04,17.8,
1993-07,6.5,
1993-10,28.1,
1994-01,-26.2,
1994-04,-7.9,
1994-07,-4.7,
1994-10,28.4,
1995-01,-5.6,
1995-04,16.0,
1995-07,13.8,
1995-10,4.1,
1996-01,-1.5,
1996-04,-3.4,
1996-07,-0.8,
1996-10,15.4,
1997-01,-0.3,
1997-04,9.1,
1997-07,-1.7,
1997-10,28.8,
1998-01,2.1,
1998-04,12.7,
1998-07,2.9,
1998-10,18.4,
1999-01,16.2,
1999-04,-7.7,
1999-07,5.3,
1999-10,-9.8,
2000-01,12.0,
2000-04,9.9,
2000-07,14.5,
2000-10,15.3,
2001-01,36.8,
2001-04,4.7,
2001-07,31.1,
2001-10,6.2,
2002-01,-12.2,
2002-04,50.5,
2002-07,45.9,
2002-10,39.7,
2003-01,48.5,
2003-04,58.9,
2003-07,-25.6,
2003-10,3.7,
2004-01,14.9,
2004-04,23.8,
2004-07,15.4,
2004-10,35.4,
2005-01,54.4,
2005-04,43.2,
2005-07,12.8,
2005-10,-37.5,
2006-01,86.6,
2006-04,36.4,
2006-07,-17.9,
2006-10,43.4,
2007-01,18.3,
2007-04,60.6,
2007-07,52.0,
2007-10,-6.3,
2008-01,28.4,
2008-04,-1.7,
2008-07,37.2,
2008-10,-42.2,
2009-01,-86.5,
2009-04,-9.3,
2009-07,-58.8,
2009-10,14.0,
2010-01,-22.5,
2010-04,15.6,
2010-07,-31.6,
2010-10,-78.4,
2011-01,-29.1,
2011-04,9.8,
2011-07,19.5,
2011-10,-35.0,
2012-01,2.7,
2012-04,-29.5,
2012-07,18.8,
2012-10,-47.8,
2013-01,-4.7,
2013-04,10.7,
2013-07,-44.3,
2013-10,-1.1,
2014-01,48.9,
