"",BBFB1.Q.N.DE.B5.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.B5.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:25,
1991-01,73.577,
1991-04,-496.323,
1991-07,208.888,
1991-10,13.238,
1992-01,-18.812,
1992-04,186.797,
1992-07,10.007,
1992-10,-109.462,
1993-01,-215.435,
1993-04,483.980,
1993-07,852.222,
1993-10,153.735,
1994-01,-467.481,
1994-04,-1327.342,
1994-07,325.371,
1994-10,416.347,
1995-01,-319.900,
1995-04,-535.397,
1995-07,-6.882,
1995-10,939.803,
1996-01,-867.069,
1996-04,-335.586,
1996-07,460.531,
1996-10,3199.994,
1997-01,1516.801,
1997-04,679.276,
1997-07,2321.996,
1997-10,641.626,
1998-01,706.793,
1998-04,3005.131,
1998-07,-6445.199,
1998-10,7721.601,
1999-01,-1726.086,
1999-04,3440.303,
1999-07,-2485.956,
1999-10,5476.032,
2000-01,2964.675,
2000-04,-182.697,
2000-07,5538.499,
2000-10,3303.185,
2001-01,-2601.164,
2001-04,-6300.979,
2001-07,7187.456,
2001-10,-2559.210,
2002-01,401.102,
2002-04,-1028.617,
2002-07,4405.700,
2002-10,-571.525,
2003-01,-2004.317,
2003-04,2722.336,
2003-07,762.633,
2003-10,1288.871,
2004-01,897.721,
2004-04,2500.687,
2004-07,-2581.199,
2004-10,3554.392,
2005-01,5136.050,
2005-04,3671.186,
2005-07,-2611.012,
2005-10,3068.162,
2006-01,5198.332,
2006-04,-3179.900,
2006-07,2213.115,
2006-10,-120.467,
2007-01,9298.971,
2007-04,11266.055,
2007-07,32031.696,
2007-10,28696.327,
2008-01,16624.447,
2008-04,16574.702,
2008-07,32.245,
2008-10,-5390.850,
2009-01,-18198.511,
2009-04,-223.541,
2009-07,6862.204,
2009-10,2125.930,
2010-01,1991.307,
2010-04,5875.502,
2010-07,5938.854,
2010-10,857.576,
2011-01,6824.141,
2011-04,6026.325,
2011-07,9431.494,
2011-10,6051.122,
2012-01,3819.882,
2012-04,9781.727,
2012-07,6438.308,
2012-10,5237.063,
2013-01,5070.257,
2013-04,3063.509,
2013-07,-203.384,
2013-10,3853.408,
2014-01,4640.661,Provisional value
2014-04,7804.718,Provisional value
2014-07,5326.226,Provisional value
2014-10,6978.083,Provisional value
