"",BBK01.OXA8R6,BBK01.OXA8R6_FLAGS
"","Stocks of loans to non-banks (non-MFIs)in other euro area member states (including bills of exchange), traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:34,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,0.919,
2010-07,1.157,
2010-08,0.741,
2010-09,0.715,
2010-10,0.738,
2010-11,1.014,
2010-12,0.704,
2011-01,0.739,
2011-02,0.696,
2011-03,0.622,
2011-04,0.611,
2011-05,0.599,
2011-06,0.523,
2011-07,0.503,
2011-08,0.486,
2011-09,0.470,
2011-10,0.499,
2011-11,0.478,
2011-12,0.563,
2012-01,0.671,
2012-02,0.681,
2012-03,0.602,
2012-04,0.590,
2012-05,0.587,
2012-06,0.562,
2012-07,0.552,
2012-08,0.506,
2012-09,0.500,
2012-10,0.252,
2012-11,0.249,
2012-12,0.242,
2013-01,0.216,
2013-02,0.213,
2013-03,0.214,
2013-04,0.165,
2013-05,0.167,
2013-06,0.148,
2013-07,0.146,
2013-08,0.139,
2013-09,0.135,
2013-10,0.129,
2013-11,0.126,
2013-12,0.125,
2014-01,0.125,
2014-02,0.123,
2014-03,0.122,
2014-04,0.098,
2014-05,0.122,
2014-06,0.183,
2014-07,0.184,
2014-08,0.183,
2014-09,0.187,
2014-10,0.186,
2014-11,0.185,
2014-12,0.150,Provisional value
