"",BBK01.XU8884,BBK01.XU8884_FLAGS
"",Germany / Exports / Product Classification for Production Statistics from 2002 / Consumer goods / 1 / 2 /,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:40,
1995-01,4767650,
1995-02,4746069,
1995-03,5041692,
1995-04,4157991,
1995-05,4586407,
1995-06,4793619,
1995-07,4865760,
1995-08,4778277,
1995-09,5356236,
1995-10,5165936,
1995-11,5030516,
1995-12,4642491,
1996-01,5099966,
1996-02,4991843,
1996-03,5167778,
1996-04,4979318,
1996-05,4713893,
1996-06,4810384,
1996-07,5378644,
1996-08,5156870,
1996-09,5262586,
1996-10,5841449,
1996-11,5503367,
1996-12,5105584,
1997-01,5095601,
1997-02,5374331,
1997-03,5559721,
1997-04,5554294,
1997-05,5167454,
1997-06,5808632,
1997-07,5916562,
1997-08,5776564,
1997-09,6112735,
1997-10,6509967,
1997-11,6436175,
1997-12,5933853,
1998-01,6397553,
1998-02,6127295,
1998-03,6618227,
1998-04,6467520,
1998-05,6063954,
1998-06,6431926,
1998-07,6931979,
1998-08,5966370,
1998-09,6329555,
1998-10,6774122,
1998-11,6222361,
1998-12,6287326,
1999-01,5836910,
1999-02,6144087,
1999-03,6615011,
1999-04,6426564,
1999-05,6016206,
1999-06,6666688,
1999-07,6996996,
1999-08,6440054,
1999-09,6739782,
1999-10,7365500,
1999-11,7861973,
1999-12,6938691,
2000-01,6425868,
2000-02,6947034,
2000-03,7859789,
2000-04,6606078,
2000-05,7461601,
2000-06,7489558,
2000-07,7598616,
2000-08,7608919,
2000-09,7730266,
2000-10,8652526,
2000-11,8319300,
2000-12,7513277,
2001-01,7492640,
2001-02,8152511,
2001-03,8263237,
2001-04,7766191,
2001-05,8746420,
2001-06,8180466,
2001-07,8730622,
2001-08,9022822,
2001-09,8217540,
2001-10,9082082,
2001-11,8740409,
2001-12,8107351,
2002-01,7892110,
2002-02,8069657,
2002-03,8446885,
2002-04,8719023,
2002-05,7765525,
2002-06,8592816,
2002-07,9191203,
2002-08,8435143,
2002-09,8801405,
2002-10,9709731,
2002-11,9274011,
2002-12,8263054,
2003-01,8620836,
2003-02,8666169,
2003-03,9130035,
2003-04,8698556,
2003-05,8401896,
2003-06,8902417,
2003-07,9055691,
2003-08,9493668,
2003-09,10500454,
2003-10,9536458,
2003-11,9824571,
2003-12,8721963,
2004-01,9145733,
2004-02,9151760,
2004-03,10393996,
2004-04,9636685,
2004-05,9536300,
2004-06,9968579,
2004-07,9738005,
2004-08,9597643,
2004-09,10181614,
2004-10,10487556,
2004-11,11166211,
2004-12,9606681,
2005-01,9841043,
2005-02,9858700,
2005-03,10371982,
2005-04,10112287,
2005-05,10472938,
2005-06,10701455,
2005-07,9953452,
2005-08,11041821,
2005-09,11406340,
2005-10,11329492,
2005-11,11382068,
2005-12,10898690,
2006-01,10909959,
2006-02,11248850,
2006-03,12315740,
2006-04,10750317,
2006-05,11151104,
2006-06,11644297,
2006-07,11582760,
2006-08,11882508,
2006-09,13004388,
2006-10,13875655,
2006-11,13245706,
2006-12,11967853,
2007-01,12114979,
2007-02,12274406,
2007-03,13019417,
2007-04,12904209,
2007-05,12313835,
2007-06,12689444,
2007-07,13112935,
2007-08,14057976,
2007-09,13819710,
2007-10,15257118,
2007-11,14992408,
2007-12,12244441,
"",General: 1 Consumer durables and non-durables combined. 2 Source: Federal Statistical Office.,
