"",BBK01.OEAH37G,BBK01.OEAH37G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:19,
2002-01,0.059,
2002-04,0.064,
2002-07,0.063,
2002-10,0.064,
2003-01,0.072,
2003-04,0.067,
2003-07,0.070,
2003-10,0.068,
2004-01,0.048,
2004-04,0.049,
2004-07,0.056,
2004-10,0.060,
2005-01,0.065,
2005-04,0.087,
2005-07,0.101,
2005-10,0.124,
2006-01,0.134,
2006-04,0.144,
2006-07,0.170,
2006-10,0.188,
2007-01,0.195,
2007-04,0.182,
2007-07,0.154,
2007-10,0.152,
2008-01,0.166,
2008-04,0.187,
2008-07,0.206,
2008-10,0.317,
2009-01,0.416,
2009-04,0.416,
2009-07,0.468,
2009-10,0.676,
2010-01,0.540,
2010-04,0.559,
2010-07,0.539,
2010-10,0.638,
2011-01,0.438,
2011-04,0.427,
2011-07,0.441,
2011-10,0.517,
2012-01,0.382,
2012-04,0.382,
2012-07,0.389,
2012-10,0.523,
2013-01,0.389,
2013-04,0.327,
2013-07,0.366,
2013-10,0.489,
2014-01,0.382,
2014-04,0.222,
2014-07,0.215,
