"",BBEX3.M.IRR.EUR.CA.AC.A01,BBEX3.M.IRR.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Iran * / EUR 1 = IRR ... (middle),
unit,IRR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:05,
2000-03,7834,
2000-04,7462,
2000-05,7708,
2000-06,7743,
2000-07,7569,
2000-08,7330,
2000-09,7114,
2000-10,6718,
2000-11,6775,
2000-12,7375,
2001-01,7290,
2001-02,7219,
2001-03,7097,
2001-04,7154,
2001-05,6781,
2001-06,6843,
2001-07,6917,
2001-08,7240,
2001-09,7223,
2001-10,7172,
2001-11,7020,
2001-12,7021,
2002-01,6856,
2002-02,6846,
2002-03,6912,
2002-04,7138,
2002-05,7380,
2002-06,7885,
2002-07,7763,
2002-08,7815,
2002-09,7831,
2002-10,7872,
2002-11,7931,
2002-12,8363,
2003-01,8573,
2003-02,8670,
2003-03,8880,
2003-04,9063,
2003-05,9546,
2003-06,9351,
2003-07,9335,
2003-08,9150,
2003-09,9729,
2003-10,9778,
2003-11,10022,
2003-12,10469,
2004-01,10544,
2004-02,10443,
2004-03,10397,
2004-04,10134,
2004-05,10471,
2004-06,10501,
2004-07,10467,
2004-08,10563,
2004-09,10806,
2004-10,11156,
2004-11,11660,
2004-12,11966,
2005-01,11509,
2005-02,11739,
2005-03,11483,
2005-04,11495,
2005-05,11071,
2005-06,10834,
2005-07,10932,
2005-08,10999,
2005-09,10872,
2005-10,10923,
2005-11,10693,
2005-12,10773,
2006-01,11030,
2006-02,10856,
2006-03,11032,
2006-04,11523,
2006-05,11782,
2006-06,11532,
2006-07,11716,
2006-08,11800,
2006-09,11666,
2006-10,11695,
2006-11,12159,
2006-12,12157,
2007-01,11941,
2007-02,12187,
2007-03,12304,
2007-04,12591,
2007-05,12446,
2007-06,12527,
2007-07,12737,
2007-08,12713,
2007-09,13257,
2007-10,13456,
2007-11,13720,
2007-12,13656,
2008-01,13702,
2008-02,13856,
2008-03,14149,
2008-04,14285,
2008-05,14349,
2008-06,14470,
2008-07,14482,
2008-08,14070,
2008-09,13945,
2008-10,13075,
2008-11,12825,
2008-12,13837,
2009-01,12435,
2009-02,12443,
2009-03,13164,
2009-04,13100,
2009-05,13584,
2009-06,14006,
2009-07,13997,
2009-08,14176,
2009-09,14474,
2009-10,14644,
2009-11,14939,
2009-12,14349,
2010-01,13870,
2010-02,13608,
2010-03,13416,
2010-04,13372,
2010-05,12796,
2010-06,12804,
2010-07,13544,
2010-08,13240,
2010-09,13870,
2010-10,14466,
2010-11,13602,
2010-12,13701,
2011-01,14083,
2011-02,14180,
2011-03,14697,
2011-04,15478,
2011-05,15206,
2011-06,15317,
2011-07,15175,
2011-08,15355,
2011-09,14636,
2011-10,15075,
2011-11,14467,comment
2011-12,14466,comment
2012-01,16174,comment
2012-02,16529,comment
2012-03,16339,comment
2012-04,16234,comment
2012-05,15169,comment
2012-06,15521,comment
2012-07,15059,comment
2012-08,15372,comment
2012-09,15762,comment
2012-10,15890,comment
2012-11,15885,comment
2012-12,16198,comment
