"",BBK01.OEAE19S,BBK01.OEAE19S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:54,
2002-01,0.232,
2002-04,0.233,
2002-07,0.244,
2002-10,0.229,
2003-01,0.188,
2003-04,0.184,
2003-07,0.181,
2003-10,0.163,
2004-01,0.182,
2004-04,0.200,
2004-07,0.193,
2004-10,0.187,
2005-01,0.175,
2005-04,0.181,
2005-07,0.171,
2005-10,0.182,
2006-01,0.185,
2006-04,0.220,
2006-07,0.225,
2006-10,0.231,
2007-01,0.231,
2007-04,0.232,
2007-07,0.237,
2007-10,0.207,
2008-01,0.184,
2008-04,0.179,
2008-07,0.163,
2008-10,0.161,
2009-01,0.163,
2009-04,0.165,
2009-07,0.181,
2009-10,0.206,
2010-01,0.196,
2010-04,0.178,
2010-07,0.185,
2010-10,0.177,
2011-01,0.171,
2011-04,0.184,
2011-07,0.181,
2011-10,0.205,
2012-01,0.208,
2012-04,0.243,
2012-07,0.247,
2012-10,0.229,
2013-01,0.232,
2013-04,0.238,
2013-07,0.255,
2013-10,0.249,
2014-01,0.250,
2014-04,0.257,
2014-07,0.271,
