"",BBK01.QUX560,BBK01.QUX560_FLAGS
"","Consolidated German banks: Claims on non-residents, total (excluding participating interests) / Hungary / Currency of the debtor country",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:32:33,
2002-03,3.839,
2002-04,4.068,
2002-05,3.996,
2002-06,4.082,
2002-07,4.100,
2002-08,4.095,
2002-09,4.201,
2002-10,4.339,
2002-11,4.818,
2002-12,4.930,
2003-01,5.216,
2003-02,4.982,
2003-03,5.222,
2003-04,5.389,
2003-05,5.259,
2003-06,5.163,
2003-07,5.073,
2003-08,5.491,
2003-09,5.571,
2003-10,5.795,
2003-11,5.631,
2003-12,5.069,
2004-01,5.118,
2004-02,5.499,
2004-03,5.776,
2004-04,5.638,
2004-05,5.914,
2004-06,6.170,
2004-07,6.379,
2004-08,6.420,
2004-09,6.524,
2004-10,6.870,
2004-11,7.110,
2004-12,7.029,
2005-01,7.014,
2005-02,7.633,
2005-03,8.046,
2005-04,7.464,
2005-05,6.841,
2005-06,7.192,
2005-07,7.771,
2005-08,7.538,
2005-09,7.493,
2005-10,7.702,
2005-11,6.977,
2005-12,4.320,
2006-01,5.015,
2006-02,5.153,
2006-03,4.715,
2006-04,4.489,
2006-05,4.523,
2006-06,4.710,
2006-07,5.157,
2006-08,4.274,
2006-09,4.200,
2006-10,4.682,
2006-11,4.966,
2006-12,4.857,
2007-01,4.792,
2007-02,4.912,
2007-03,5.088,
2007-04,4.681,
2007-05,4.528,
2007-06,4.441,
2007-07,4.497,
2007-08,4.439,
2007-09,4.160,
2007-10,4.729,
2007-11,4.636,
2007-12,4.813,
2008-01,4.966,
2008-02,4.941,
2008-03,4.784,
2008-04,4.762,
2008-05,5.074,
2008-06,5.205,
2008-07,5.067,
2008-08,4.768,
2008-09,4.907,
2008-10,4.160,
2008-11,4.417,
2008-12,3.946,
2009-01,3.928,
2009-02,3.765,
2009-03,3.599,
2009-04,3.787,
2009-05,3.878,
2009-06,4.252,
2009-07,4.245,
2009-08,4.266,
2009-09,4.217,
2009-10,4.078,
2009-11,4.273,
2009-12,4.095,
2010-01,4.152,
2010-02,4.359,
2010-03,4.389,
2010-04,4.390,
2010-05,4.067,
2010-06,4.127,
2010-07,4.107,
2010-08,4.141,
2010-09,3.936,
2010-10,4.076,
2010-11,3.983,
2010-12,4.057,
2011-01,3.632,
2011-02,3.932,
2011-03,4.288,
2011-04,4.594,
2011-05,4.550,
2011-06,4.577,
2011-07,4.930,
2011-08,4.890,
2011-09,4.811,
2011-10,4.285,
2011-11,4.100,
2011-12,3.917,
2012-01,4.237,
2012-02,4.526,
2012-03,4.299,
2012-04,4.547,
2012-05,4.448,
2012-06,4.881,
2012-07,4.906,
2012-08,5.112,
2012-09,5.125,
2012-10,5.069,
2012-11,5.072,
2012-12,4.971,
2013-01,4.896,
2013-02,4.940,
2013-03,4.683,
2013-04,4.705,
2013-05,4.830,
2013-06,4.785,
2013-07,4.652,
2013-08,4.570,
2013-09,4.805,
2013-10,4.503,
2013-11,4.364,
2013-12,4.663,
2014-01,4.254,
2014-02,4.305,
2014-03,4.525,
2014-04,4.455,
2014-05,4.610,
2014-06,4.871,
2014-07,4.867,
2014-08,5.003,
2014-09,2.384,
2014-10,2.420,
