"",BBK01.OEYI02I,BBK01.OEYI02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:41,
2002-01,4.681,
2002-04,4.587,
2002-07,4.374,
2002-10,4.873,
2003-01,4.653,
2003-04,4.693,
2003-07,8.653,
2003-10,8.900,
2004-01,8.876,
2004-04,9.146,
2004-07,9.118,
2004-10,9.528,
2005-01,10.202,
2005-04,9.806,
2005-07,9.683,
2005-10,9.898,
2006-01,10.192,
2006-04,10.350,
2006-07,11.342,
2006-10,7.468,
2007-01,7.126,
2007-04,8.067,
2007-07,7.865,
2007-10,7.865,
2008-01,7.526,
2008-04,8.961,
2008-07,7.856,
2008-10,8.771,
2009-01,10.584,
2009-04,11.110,
2009-07,13.603,
2009-10,11.533,
2010-01,13.317,
2010-04,12.986,
2010-07,12.652,
2010-10,13.032,
2011-01,13.207,
2011-04,14.686,
2011-07,15.519,
2011-10,13.283,
2012-01,14.149,
2012-04,15.250,
2012-07,14.683,
2012-10,15.901,
2013-01,17.389,
2013-04,19.067,
2013-07,17.050,
2013-10,17.297,
2014-01,17.009,
2014-04,18.362,
2014-07,19.162,
