"",BBK01.OEAB16M,BBK01.OEAB16M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:20,
2002-01,33.984,
2002-04,34.055,
2002-07,33.860,
2002-10,33.897,
2003-01,34.094,
2003-04,34.239,
2003-07,34.358,
2003-10,34.085,
2004-01,33.940,
2004-04,33.967,
2004-07,33.483,
2004-10,33.473,
2005-01,33.079,
2005-04,33.312,
2005-07,33.311,
2005-10,33.377,
2006-01,32.896,
2006-04,32.481,
2006-07,32.036,
2006-10,31.934,
2007-01,31.885,
2007-04,31.664,
2007-07,31.706,
2007-10,31.696,
2008-01,31.411,
2008-04,31.446,
2008-07,31.771,
2008-10,31.696,
2009-01,31.533,
2009-04,32.067,
2009-07,32.035,
2009-10,32.190,
2010-01,32.063,
2010-04,32.709,
2010-07,33.061,
2010-10,33.106,
2011-01,32.827,
2011-04,32.931,
2011-07,32.966,
2011-10,33.713,
2012-01,33.576,
2012-04,35.168,
2012-07,35.335,
2012-10,35.492,
2013-01,35.357,
2013-04,35.568,
2013-07,35.690,
2013-10,35.753,
2014-01,35.635,
2014-04,35.728,
2014-07,35.833,
