"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.NL.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.NL.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Netherlands,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:33,
2009-09,48158,
2009-10,48367,
2009-11,49963,
2009-12,50036,
2010-01,55519,
2010-02,56086,
2010-03,56599,
2010-04,53282,
2010-05,54062,
2010-06,55180,
2010-07,55783,
2010-08,57141,
2010-09,56877,
2010-10,56609,
2010-11,55703,
2010-12,56524,
2011-01,56769,
2011-02,56432,
2011-03,56616,
2011-04,56446,
2011-05,56616,
2011-06,56484,
2011-07,56854,
2011-08,57936,
2011-09,57676,
2011-10,58463,
2011-11,57047,
2011-12,58162,
2012-01,58850,
2012-02,59784,
2012-03,60744,
2012-04,60961,
2012-05,62142,
2012-06,62462,
2012-07,65610,
2012-08,67089,
2012-09,67589,
2012-10,67206,
2012-11,67288,
2012-12,67670,
2013-01,66407,
2013-02,66833,
2013-03,68199,
2013-04,68663,
2013-05,69364,
2013-06,67926,
2013-07,68607,
2013-08,67765,
2013-09,67826,
2013-10,68188,
2013-11,67757,
2013-12,66950,
2014-01,67822,
2014-02,67902,
2014-03,69907,
2014-04,70562,
2014-05,71366,
2014-06,70653,
2014-07,70730,
2014-08,71896,
2014-09,70677,
2014-10,70280,
2014-11,70152,
