"",BBK01.OEAH19L,BBK01.OEAH19L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:10,
2002-01,102.015,
2002-04,102.980,
2002-07,103.045,
2002-10,103.772,
2003-01,104.252,
2003-04,104.400,
2003-07,106.716,
2003-10,106.880,
2004-01,107.995,
2004-04,109.384,
2004-07,110.384,
2004-10,111.010,
2005-01,112.222,
2005-04,111.337,
2005-07,112.299,
2005-10,112.456,
2006-01,116.886,
2006-04,117.221,
2006-07,116.834,
2006-10,116.039,
2007-01,115.326,
2007-04,115.305,
2007-07,117.847,
2007-10,119.323,
2008-01,120.736,
2008-04,120.219,
2008-07,128.875,
2008-10,141.158,
2009-01,142.209,
2009-04,142.429,
2009-07,133.376,
2009-10,132.596,
2010-01,130.810,
2010-04,130.830,
2010-07,134.986,
2010-10,157.612,
2011-01,152.406,
2011-04,149.853,
2011-07,148.914,
2011-10,147.673,
2012-01,145.468,
2012-04,142.477,
2012-07,140.499,
2012-10,137.908,
2013-01,136.036,
2013-04,135.883,
2013-07,135.472,
2013-10,133.446,
2014-01,132.840,
2014-04,131.876,
2014-07,131.125,
