"",BBK01.OEAB13Q,BBK01.OEAB13Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:09,
2002-01,21.428,
2002-04,21.308,
2002-07,20.705,
2002-10,20.668,
2003-01,20.538,
2003-04,23.199,
2003-07,22.917,
2003-10,22.390,
2004-01,22.112,
2004-04,19.419,
2004-07,19.134,
2004-10,18.897,
2005-01,18.639,
2005-04,18.694,
2005-07,18.629,
2005-10,18.374,
2006-01,18.241,
2006-04,18.646,
2006-07,18.083,
2006-10,17.716,
2007-01,17.980,
2007-04,16.855,
2007-07,15.170,
2007-10,15.030,
2008-01,14.941,
2008-04,14.897,
2008-07,14.890,
2008-10,14.828,
2009-01,14.736,
2009-04,15.161,
2009-07,15.209,
2009-10,15.317,
2010-01,15.332,
2010-04,15.568,
2010-07,15.676,
2010-10,15.590,
2011-01,15.272,
2011-04,15.301,
2011-07,15.149,
2011-10,15.634,
2012-01,15.689,
2012-04,16.242,
2012-07,16.149,
2012-10,16.129,
2013-01,16.213,
2013-04,16.184,
2013-07,16.137,
2013-10,16.106,
2014-01,16.114,
2014-04,16.199,
2014-07,16.212,
