"",BBFN1.M.DE.N.1.A.W1.S1P.F0.S.BN00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.S.BN00.EUR.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:55,
1968-12,0.340,
1969-01,0.290,
1969-02,0.282,
1969-03,0.384,
1969-04,0.365,
1969-05,0.391,
1969-06,0.415,
1969-07,0.441,
1969-08,0.509,
1969-09,0.512,
1969-10,0.485,
1969-11,0.457,
1969-12,0.495,
1970-01,0.542,
1970-02,0.594,
1970-03,0.544,
1970-04,0.637,
1970-05,0.602,
1970-06,0.649,
1970-07,0.625,
1970-08,0.671,
1970-09,0.606,
1970-10,0.658,
1970-11,0.722,
1970-12,0.777,
1971-01,0.822,
1971-02,0.843,
1971-03,0.852,
1971-04,0.853,
1971-05,0.789,
1971-06,0.991,
1971-07,0.995,
1971-08,1.033,
1971-09,0.973,
1971-10,0.887,
1971-11,0.884,
1971-12,1.010,
1972-01,0.916,
1972-02,1.022,
1972-03,1.023,
1972-04,0.924,
1972-05,0.892,
1972-06,0.865,
1972-07,0.721,
1972-08,0.688,
1972-09,0.673,
1972-10,0.683,
1972-11,0.697,
1972-12,0.757,
1973-01,0.725,
1973-02,0.719,
1973-03,0.676,
1973-04,0.691,
1973-05,0.675,
1973-06,0.685,
1973-07,0.654,
1973-08,0.656,
1973-09,0.681,
1973-10,0.650,
1973-11,0.716,
1973-12,0.745,
1974-01,0.711,
1974-02,0.861,
1974-03,0.961,
1974-04,0.933,
1974-05,0.958,
1974-06,1.262,
1974-07,1.306,
1974-08,1.303,
1974-09,1.190,
1974-10,1.293,
1974-11,1.298,
1974-12,1.357,
1975-01,1.458,
1975-02,1.426,
1975-03,1.528,
1975-04,1.485,
1975-05,1.572,
1975-06,1.577,
1975-07,1.509,
1975-08,1.515,
1975-09,1.702,
1975-10,1.750,
1975-11,1.802,
1975-12,1.697,
1976-01,1.717,
1976-02,1.767,
1976-03,1.893,
1976-04,1.906,
1976-05,2.199,
1976-06,2.776,
1976-07,2.835,
1976-08,2.679,
1976-09,2.291,
1976-10,2.212,
1976-11,2.177,
1976-12,2.054,
1977-01,2.190,
1977-02,2.404,
1977-03,2.587,
1977-04,2.548,
1977-05,2.685,
1977-06,2.259,
1977-07,2.165,
1977-08,2.135,
1977-09,2.095,
1977-10,2.082,
1977-11,2.055,
1977-12,2.158,
1978-01,1.964,
1978-02,2.097,
1978-03,2.409,
1978-04,2.137,
1978-05,2.132,
1978-06,1.835,
1978-07,1.817,
1978-08,1.720,
1978-09,1.824,
1978-10,1.824,
1978-11,1.908,
1978-12,1.839,
1979-01,1.866,
1979-02,1.880,
1979-03,2.379,
1979-04,2.370,
1979-05,2.845,
1979-06,2.482,
1979-07,2.353,
1979-08,2.550,
1979-09,2.355,
1979-10,2.252,
1979-11,2.082,
1979-12,2.311,
1980-01,2.496,
1980-02,2.511,
1980-03,2.873,
1980-04,2.922,
1980-05,3.155,
1980-06,2.874,
1980-07,2.944,
1980-08,2.925,
1980-09,2.969,
1980-10,3.140,
1980-11,3.175,
1980-12,3.393,
1981-01,3.260,
1981-02,4.025,
1981-03,4.268,
1981-04,4.222,
1981-05,3.866,
1981-06,3.717,
1981-07,3.827,
1981-08,3.408,
1981-09,3.515,
1981-10,3.772,
1981-11,3.624,
1981-12,3.324,
1982-01,4.129,
1982-02,4.751,
1982-03,4.618,
1982-04,4.668,
1982-05,5.379,
1982-06,5.286,
1982-07,5.121,
1982-08,4.807,
1982-09,4.848,
1982-10,4.922,
1982-11,5.145,
1982-12,4.486,
1983-01,4.549,
1983-02,4.267,
1983-03,4.512,
1983-04,4.677,
1983-05,5.207,
1983-06,5.293,
1983-07,5.408,
1983-08,5.523,
1983-09,5.498,
1983-10,5.326,
1983-11,5.162,
1983-12,4.639,
1984-01,5.624,
1984-02,6.061,
1984-03,6.688,
1984-04,6.454,
1984-05,6.974,
1984-06,6.063,
1984-07,6.100,
1984-08,6.093,
1984-09,6.478,
1984-10,6.683,
1984-11,7.169,
1984-12,7.567,
1985-01,8.110,
1985-02,8.543,
1985-03,9.640,
1985-04,10.541,
1985-05,10.840,
1985-06,10.826,
1985-07,10.710,
1985-08,10.280,
1985-09,10.570,
1985-10,11.227,
1985-11,10.217,
1985-12,10.047,
1986-01,13.637,
1986-02,14.723,
1986-03,18.773,
1986-04,22.211,
1986-05,23.100,
1986-06,21.372,
1986-07,23.375,
1986-08,23.381,
1986-09,23.341,
1986-10,25.998,
1986-11,25.236,
1986-12,22.231,
1987-01,26.009,
1987-02,26.144,
1987-03,26.424,
1987-04,27.841,
1987-05,27.064,
1987-06,26.606,
1987-07,28.708,
1987-08,28.689,
1987-09,28.521,
1987-10,30.265,
1987-11,29.209,
1987-12,26.356,
1988-01,30.260,
1988-02,29.698,
1988-03,31.427,
1988-04,31.602,
1988-05,32.744,
1988-06,30.898,
1988-07,30.908,
1988-08,31.295,
1988-09,30.345,
1988-10,30.906,
1988-11,29.378,
1988-12,27.471,
1989-01,34.356,
1989-02,35.229,
1989-03,35.271,
1989-04,37.527,
1989-05,39.097,
1989-06,37.906,
1989-07,37.530,
1989-08,37.724,
1989-09,36.979,
1989-10,42.627,
1989-11,44.692,
1989-12,41.608,
1990-01,46.671,
1990-02,46.979,
1990-03,49.333,
1990-04,50.021,
1990-05,50.520,
1990-06,49.698,
1990-07,50.198,
1990-08,50.971,
1990-09,51.595,
1990-10,54.710,
1990-11,53.965,
1990-12,51.876,
1991-01,56.675,
1991-02,56.799,
1991-03,60.147,
1991-04,62.735,
1991-05,62.284,
1991-06,60.082,
1991-07,61.892,
1991-08,58.645,
1991-09,57.392,
1991-10,61.498,
1991-11,60.869,
1991-12,54.931,
1992-01,58.896,
1992-02,60.369,
1992-03,60.389,
1992-04,61.791,
1992-05,61.042,
1992-06,60.297,
1992-07,58.789,
1992-08,57.409,
1992-09,55.482,
1992-10,62.142,
1992-11,62.238,
1992-12,58.258,
1993-01,65.472,
1993-02,67.828,
1993-03,69.017,
1993-04,72.667,
1993-05,70.399,
1993-06,69.793,
1993-07,73.594,
1993-08,70.476,
1993-09,72.676,
1993-10,82.637,
1993-11,83.281,
1993-12,79.323,
1994-01,88.452,
1994-02,82.898,
1994-03,87.244,
1994-04,86.745,
1994-05,86.329,
1994-06,82.948,
1994-07,86.709,
1994-08,86.915,
1994-09,88.916,
1994-10,95.299,
1994-11,95.804,
1994-12,91.751,
1995-01,97.992,
1995-02,96.585,
1995-03,95.295,
1995-04,97.718,
1995-05,99.467,
1995-06,97.732,
1995-07,98.917,
1995-08,94.092,
1995-09,94.086,
1995-10,96.481,
1995-11,93.143,
1995-12,85.217,
1996-01,89.568,
1996-02,89.521,
1996-03,90.582,
1996-04,94.463,
1996-05,94.547,
1996-06,89.953,
1996-07,88.527,
1996-08,86.195,
1996-09,85.105,
1996-10,87.838,
1996-11,88.873,
1996-12,83.412,
1997-01,93.628,
1997-02,96.649,
1997-03,95.983,
1997-04,96.365,
1997-05,93.560,
1997-06,89.567,
1997-07,92.248,
1997-08,88.242,
1997-09,89.517,
1997-10,89.855,
1997-11,87.474,
1997-12,80.066,
1998-01,92.752,
1998-02,94.341,
1998-03,93.936,
1998-04,99.373,
1998-05,96.299,
1998-06,93.432,
1998-07,96.492,
1998-08,93.620,
1998-09,96.359,
1998-10,101.051,
1998-11,94.383,
1998-12,87.041,
1999-01,93.094,
1999-02,96.186,
1999-03,100.127,
1999-04,101.855,
1999-05,103.868,
1999-06,106.284,
1999-07,103.462,
1999-08,101.398,
1999-09,101.253,
1999-10,97.440,
1999-11,95.676,
1999-12,89.341,
2000-01,97.442,
2000-02,102.312,
2000-03,109.580,
2000-04,111.094,
2000-05,115.556,
2000-06,101.451,
2000-07,105.144,
2000-08,120.119,
2000-09,106.493,
2000-10,107.349,
2000-11,106.899,
2000-12,97.614,
2001-01,117.977,
2001-02,127.355,
2001-03,128.781,
2001-04,131.799,
2001-05,135.648,
2001-06,134.107,
2001-07,135.738,
2001-08,126.334,
2001-09,121.514,
2001-10,121.440,
2001-11,123.573,
2001-12,122.686,
2002-01,133.371,
2002-02,129.161,
2002-03,124.281,
2002-04,131.637,
2002-05,138.753,
2002-06,127.606,
2002-07,128.093,
2002-08,130.952,
2002-09,135.982,
2002-10,136.595,
2002-11,129.265,
2002-12,119.687,
2003-01,134.729,
2003-02,140.538,
2003-03,147.713,
2003-04,158.597,
2003-05,163.401,
2003-06,158.336,
2003-07,163.339,
2003-08,152.742,
2003-09,157.838,
2003-10,160.391,
2003-11,156.235,
2003-12,148.434,
2004-01,163.542,
2004-02,162.140,
2004-03,168.092,
2004-04,164.314,
2004-05,158.527,
2004-06,161.707,
2004-07,162.554,
2004-08,162.562,
2004-09,163.610,
2004-10,164.097,
2004-11,159.085,
2004-12,154.842,
2005-01,160.643,
2005-02,162.685,
2005-03,172.314,
2005-04,166.652,
2005-05,166.094,
2005-06,160.131,
2005-07,163.855,
2005-08,163.446,
2005-09,171.967,
2005-10,176.000,
2005-11,171.766,
2005-12,156.157,
2006-01,155.099,
2006-02,164.911,
2006-03,165.579,
2006-04,171.920,
2006-05,168.044,
2006-06,165.543,
2006-07,163.631,
2006-08,168.917,
2006-09,175.618,
2006-10,176.947,
2006-11,174.756,
2006-12,166.978,
2007-01,177.814,
2007-02,187.173,
2007-03,190.409,
2007-04,188.252,
2007-05,181.214,
2007-06,182.621,
2007-07,184.525,
2007-08,178.370,
2007-09,175.896,
2007-10,188.645,
2007-11,180.513,
2007-12,170.622,
2008-01,183.844,
2008-02,180.310,
2008-03,189.965,
2008-04,186.998,
2008-05,184.617,
2008-06,183.750,
2008-07,188.018,
2008-08,183.921,
2008-09,185.282,
2008-10,179.613,
2008-11,177.546,
2008-12,181.284,
2009-01,186.827,
2009-02,185.265,
2009-03,205.807,
2009-04,204.929,
2009-05,201.351,
2009-06,208.687,
2009-07,201.111,
2009-08,198.467,
2009-09,202.344,
2009-10,206.097,
2009-11,203.478,
2009-12,210.057,
2010-01,202.575,
2010-02,206.343,
2010-03,211.641,
2010-04,215.892,
2010-05,216.580,
2010-06,215.368,
2010-07,225.518,
2010-08,227.062,
2010-09,229.935,
2010-10,232.921,
2010-11,231.900,
2010-12,217.487,
2011-01,233.278,
2011-02,231.278,
2011-03,234.843,
2011-04,234.720,
2011-05,247.546,
2011-06,245.674,
2011-07,257.569,
2011-08,273.195,
2011-09,278.297,
2011-10,284.295,
2011-11,279.177,
2011-12,249.177,
2012-01,276.480,
2012-02,272.607,
2012-03,275.361,
2012-04,266.307,
2012-05,277.423,
2012-06,288.593,
2012-07,287.681,
2012-08,272.839,
2012-09,282.100,
2012-10,274.349,
2012-11,277.368,
2012-12,264.908,
2013-01,285.041,
2013-02,285.373,
2013-03,294.495,
