"",BBK01.OEAJ05H,BBK01.OEAJ05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:24,
2002-01,75.899,
2002-04,75.599,
2002-07,75.196,
2002-10,75.621,
2003-01,76.583,
2003-04,76.436,
2003-07,75.690,
2003-10,80.260,
2004-01,79.562,
2004-04,80.222,
2004-07,79.491,
2004-10,78.923,
2005-01,81.759,
2005-04,80.579,
2005-07,79.759,
2005-10,78.503,
2006-01,77.411,
2006-04,76.874,
2006-07,76.803,
2006-10,77.436,
2007-01,78.120,
2007-04,78.180,
2007-07,77.946,
2007-10,77.279,
2008-01,85.686,
2008-04,86.810,
2008-07,86.508,
2008-10,97.767,
2009-01,98.675,
2009-04,97.902,
2009-07,105.158,
2009-10,104.056,
2010-01,104.032,
2010-04,102.829,
2010-07,101.433,
2010-10,99.476,
2011-01,97.617,
2011-04,96.375,
2011-07,94.360,
2011-10,93.349,
2012-01,92.036,
2012-04,91.367,
2012-07,90.843,
2012-10,89.594,
2013-01,88.702,
2013-04,87.869,
2013-07,86.755,
2013-10,85.537,
2014-01,85.279,
2014-04,83.112,
2014-07,82.567,
