"",BBK01.OEAF03M,BBK01.OEAF03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:26,
2002-01,66.319,
2002-04,66.635,
2002-07,68.251,
2002-10,68.997,
2003-01,70.395,
2003-04,71.916,
2003-07,73.861,
2003-10,73.717,
2004-01,73.027,
2004-04,73.391,
2004-07,72.313,
2004-10,73.235,
2005-01,79.032,
2005-04,79.859,
2005-07,81.635,
2005-10,82.608,
2006-01,83.171,
2006-04,85.310,
2006-07,85.768,
2006-10,86.468,
2007-01,88.918,
2007-04,86.620,
2007-07,86.572,
2007-10,86.433,
2008-01,86.074,
2008-04,86.369,
2008-07,86.126,
2008-10,85.917,
2009-01,85.405,
2009-04,86.447,
2009-07,87.095,
2009-10,86.778,
2010-01,88.069,
2010-04,88.554,
2010-07,89.642,
2010-10,86.819,
2011-01,86.748,
2011-04,86.367,
2011-07,86.603,
2011-10,86.457,
2012-01,86.038,
2012-04,86.413,
2012-07,86.726,
2012-10,86.974,
2013-01,86.706,
2013-04,86.857,
2013-07,87.467,
2013-10,87.611,
2014-01,87.435,
2014-04,87.621,
2014-07,87.910,
