"",BBK01.OEAF38P,BBK01.OEAF38P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:20,
2002-01,0.237,
2002-04,0.232,
2002-07,0.233,
2002-10,0.230,
2003-01,0.224,
2003-04,0.221,
2003-07,0.197,
2003-10,0.198,
2004-01,0.200,
2004-04,0.191,
2004-07,0.204,
2004-10,0.178,
2005-01,0.205,
2005-04,0.201,
2005-07,0.197,
2005-10,0.194,
2006-01,0.204,
2006-04,0.212,
2006-07,0.219,
2006-10,0.218,
2007-01,0.226,
2007-04,0.233,
2007-07,0.232,
2007-10,0.229,
2008-01,0.227,
2008-04,0.214,
2008-07,0.211,
2008-10,0.196,
2009-01,0.189,
2009-04,0.190,
2009-07,0.187,
2009-10,0.180,
2010-01,0.177,
2010-04,0.177,
2010-07,0.179,
2010-10,0.179,
2011-01,0.181,
2011-04,0.198,
2011-07,0.201,
2011-10,0.200,
2012-01,0.197,
2012-04,0.196,
2012-07,0.167,
2012-10,0.173,
2013-01,0.170,
2013-04,0.174,
2013-07,0.174,
2013-10,0.176,
2014-01,0.174,
2014-04,0.176,
2014-07,0.171,
