"",BBK01.OEHI02N,BBK01.OEHI02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:34,
2002-01,37.622,
2002-04,38.509,
2002-07,37.553,
2002-10,40.665,
2003-01,40.551,
2003-04,42.149,
2003-07,41.672,
2003-10,43.639,
2004-01,43.227,
2004-04,43.714,
2004-07,43.383,
2004-10,44.753,
2005-01,44.005,
2005-04,45.732,
2005-07,46.499,
2005-10,48.190,
2006-01,46.905,
2006-04,46.911,
2006-07,46.261,
2006-10,48.659,
2007-01,47.103,
2007-04,47.747,
2007-07,47.946,
2007-10,49.477,
2008-01,48.514,
2008-04,48.490,
2008-07,48.328,
2008-10,51.898,
2009-01,56.540,
2009-04,61.164,
2009-07,64.383,
2009-10,68.063,
2010-01,68.031,
2010-04,70.777,
2010-07,71.236,
2010-10,73.842,
2011-01,70.984,
2011-04,70.878,
2011-07,72.560,
2011-10,74.555,
2012-01,75.357,
2012-04,78.582,
2012-07,81.964,
2012-10,84.416,
2013-01,84.630,
2013-04,86.626,
2013-07,88.663,
2013-10,92.086,
2014-01,92.454,
2014-04,93.649,
2014-07,95.620,
