"",BBK01.PQC350,BBK01.PQC350_FLAGS
"",Lending to domestic enterprises and resident individuals / Total / Big banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:19:36,
1958-10,6.142,
1959-01,-,Nothing exists
1959-04,6.485,
1959-07,-,Nothing exists
1959-10,6.959,
1960-01,-,Nothing exists
1960-04,7.250,
1960-07,-,Nothing exists
1960-10,7.861,
1961-01,-,Nothing exists
1961-04,8.903,
1961-07,-,Nothing exists
1961-10,9.238,
1962-01,-,Nothing exists
1962-04,9.657,
1962-07,-,Nothing exists
1962-10,9.976,
1963-01,-,Nothing exists
1963-04,10.483,
1963-07,-,Nothing exists
1963-10,10.496,
1964-01,-,Nothing exists
1964-04,10.755,
1964-07,-,Nothing exists
1964-10,11.498,
1965-01,11.651,
1965-04,12.531,
1965-07,12.569,
1965-10,12.535,
1966-01,12.850,
1966-04,13.405,
1966-07,13.436,
1966-10,13.439,
1967-01,13.205,
1967-04,13.591,
1967-07,13.770,
1967-10,14.183,
1968-01,14.230,
1968-04,15.007,
1968-07,15.280,
1968-10,15.717,
1969-01,16.897,
1969-04,17.746,
1969-07,18.364,
1969-10,21.131,
1970-01,20.767,
1970-04,21.537,
1970-07,21.642,
1970-10,22.544,
1971-01,22.759,
1971-04,23.852,
1971-07,24.239,
1971-10,26.275,
1972-01,25.959,
1972-04,27.800,
1972-07,28.032,
1972-10,30.896,
1973-01,31.737,
1973-04,32.548,
1973-07,33.735,
1973-10,32.973,
1974-01,32.641,
1974-04,33.418,
1974-07,34.152,
1974-10,34.676,
1975-01,32.261,
1975-04,32.703,
1975-07,32.313,
1975-10,33.947,
1976-01,32.603,
1976-04,34.685,
1976-07,34.786,
1976-10,38.600,
1977-01,36.504,
1977-04,39.058,
1977-07,39.856,
1977-10,42.177,
1978-01,40.977,
1978-04,42.345,
1978-07,43.128,
1978-10,47.092,
1979-01,46.381,
1979-04,49.473,
1979-07,49.824,
1979-10,53.558,
1980-01,51.998,
1980-04,54.320,
1980-07,54.213,
1980-10,57.304,
1981-01,55.766,
1981-04,56.517,
1981-07,56.307,
1981-10,58.048,
1982-01,56.298,
1982-04,57.018,
1982-07,57.377,
1982-10,59.620,
1983-01,56.889,
1983-04,59.242,
1983-07,60.165,
1983-10,63.427,
1984-01,61.785,
1984-04,64.251,
1984-07,65.360,
1984-10,67.441,
1985-01,67.749,
1985-04,68.360,
1985-07,68.624,
1985-10,72.639,
1986-01,72.362,
1986-04,76.330,
1986-07,77.796,
1986-10,81.211,
1987-01,79.868,
1987-04,81.063,
1987-07,84.134,
1987-10,86.495,
1988-01,87.063,
1988-04,92.142,
1988-07,93.017,
1988-10,97.837,
1989-01,99.280,
1989-04,102.806,
1989-07,105.985,
1989-10,111.672,
1990-01,113.955,
1990-04,117.502,
1990-07,122.705,
1990-10,129.133,
1991-01,135.710,
1991-04,141.927,
1991-07,148.689,
1991-10,156.385,
1992-01,156.950,
1992-04,160.743,
1992-07,159.099,
1992-10,162.064,
1993-01,159.524,
1993-04,161.140,
1993-07,163.257,
1993-10,165.057,
1994-01,164.265,
1994-04,164.785,
1994-07,166.278,
1994-10,169.240,
1995-01,170.564,
1995-04,176.826,
1995-07,179.816,
1995-10,185.023,
1996-01,187.258,
1996-04,191.052,
1996-07,192.541,
1996-10,199.738,
1997-01,201.262,
1997-04,206.133,
1997-07,205.382,
1997-10,209.647,
1998-01,210.470,
1998-04,211.850,
1998-07,213.681,
1998-10,224.801,
1999-01,355.514,
1999-04,361.792,
1999-07,322.564,
1999-10,332.129,
2000-01,333.986,
2000-04,340.575,
2000-07,343.326,
2000-10,338.512,
2001-01,340.251,
2001-04,336.829,
2001-07,333.198,
2001-10,331.696,
2002-01,323.935,
2002-04,321.700,
2002-07,318.829,
2002-10,309.513,
2003-01,302.741,
2003-04,299.053,
2003-07,298.016,
2003-10,289.816,
2004-01,283.487,
2004-04,278.616,
2004-07,278.074,
2004-10,316.486,
2005-01,317.012,
2005-04,316.844,
2005-07,324.108,
2005-10,314.530,
2006-01,325.516,
2006-04,326.179,
2006-07,331.762,
2006-10,303.911,
2007-01,320.957,
2007-04,315.249,
2007-07,315.682,
2007-10,307.853,
2008-01,320.640,
2008-04,322.270,
2008-07,319.974,
2008-10,301.173,
2009-01,299.767,
2009-04,298.223,
2009-07,303.692,
2009-10,289.466,
2010-01,284.079,
2010-04,289.360,
2010-07,280.185,
2010-10,277.637,
2011-01,275.891,
2011-04,283.481,
2011-07,281.121,
2011-10,283.418,
2012-01,281.968,
2012-04,286.309,
2012-07,293.546,
2012-10,281.856,
2013-01,294.434,
2013-04,305.052,
2013-07,248.131,
2013-10,245.533,
2014-01,246.674,
2014-04,248.399,
2014-07,249.684,
2014-10,246.546,
