"",BBK01.SU0521,BBK01.SU0521_FLAGS
"","Deposit rates of banks / Savings deposits with higher rates of return, with agreed notice of 3 months, without a duration of contract being agreed, EUR 5,000 and more but less than EUR 10,000 / Average interest rate",
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2013-04-03 10:29:30,
1996-11,2.65,
1996-12,2.64,
1997-01,2.63,
1997-02,2.59,
1997-03,2.58,
1997-04,2.58,
1997-05,2.57,
1997-06,2.57,
1997-07,2.56,
1997-08,2.57,
1997-09,2.55,
1997-10,2.59,
1997-11,2.66,
1997-12,2.69,
1998-01,2.66,
1998-02,2.66,
1998-03,2.64,
1998-04,2.63,
1998-05,2.63,
1998-06,2.63,
1998-07,2.62,
1998-08,2.60,
1998-09,2.56,
1998-10,2.55,
1998-11,2.55,
1998-12,2.51,
1999-01,2.42,
1999-02,2.37,
1999-03,2.34,
1999-04,2.24,
1999-05,2.08,
1999-06,2.06,
1999-07,2.06,
1999-08,2.07,
1999-09,2.08,
1999-10,2.13,
1999-11,2.22,
1999-12,2.28,
2000-01,2.28,
2000-02,2.30,
2000-03,2.36,
2000-04,2.40,
2000-05,2.53,
2000-06,2.66,
2000-07,2.73,
2000-08,2.79,
2000-09,2.89,
2000-10,2.89,
2000-11,2.96,
2000-12,2.99,
2001-01,2.95,
2001-02,2.94,
2001-03,2.97,
2001-04,2.95,
2001-05,2.92,
2001-06,2.87,
2001-07,2.85,
2001-08,2.77,
2001-09,2.63,
2001-10,2.47,
2001-11,2.25,
2001-12,2.18,
2002-01,2.15,
2002-02,2.14,
2002-03,2.14,
2002-04,2.15,
2002-05,2.16,
2002-06,2.15,
2002-07,2.16,
2002-08,2.14,
2002-09,2.12,
2002-10,2.10,
2002-11,2.07,
2002-12,1.97,
2003-01,1.90,
2003-02,1.83,
2003-03,1.71,
2003-04,1.68,
2003-05,1.64,
2003-06,1.48,
"","General: Most frequently occuring interest rate for new business within the reporting period (the two middle weeks of a given month). The average rates are calculated as unweighted arithmetic means from the interest rates reported to be within the spread. The spread is ascertained by eliminating the reports in the top 5% and the bottom 5% of the interest rate range. Up to December 2001, deposits of DM 10,000 and more but less than DM 20,000.",
