"",BBK01.OEXK02T,BBK01.OEXK02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:08,
2002-01,0.100,
2002-04,0.102,
2002-07,0.105,
2002-10,0.106,
2003-01,0.100,
2003-04,0.115,
2003-07,0.105,
2003-10,0.110,
2004-01,0.115,
2004-04,0.130,
2004-07,0.127,
2004-10,0.114,
2005-01,0.116,
2005-04,0.118,
2005-07,0.100,
2005-10,0.109,
2006-01,0.101,
2006-04,0.105,
2006-07,0.110,
2006-10,0.118,
2007-01,0.117,
2007-04,0.114,
2007-07,0.114,
2007-10,0.127,
2008-01,0.111,
2008-04,0.109,
2008-07,0.115,
2008-10,0.127,
2009-01,0.129,
2009-04,0.153,
2009-07,0.148,
2009-10,0.164,
2010-01,0.153,
2010-04,0.212,
2010-07,0.247,
2010-10,0.279,
2011-01,0.255,
2011-04,0.259,
2011-07,0.274,
2011-10,0.286,
2012-01,0.281,
2012-04,0.290,
2012-07,0.315,
2012-10,0.323,
2013-01,0.336,
2013-04,0.339,
2013-07,0.339,
2013-10,0.403,
2014-01,0.358,
2014-04,0.350,
2014-07,0.356,
