"",BBK01.OEAF26V,BBK01.OEAF26V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:38,
2002-01,0.945,
2002-04,0.989,
2002-07,1.002,
2002-10,1.136,
2003-01,1.109,
2003-04,0.805,
2003-07,0.834,
2003-10,0.845,
2004-01,0.749,
2004-04,0.789,
2004-07,0.810,
2004-10,0.805,
2005-01,1.003,
2005-04,1.004,
2005-07,1.121,
2005-10,1.107,
2006-01,1.105,
2006-04,1.132,
2006-07,1.149,
2006-10,1.195,
2007-01,1.219,
2007-04,1.263,
2007-07,1.291,
2007-10,1.092,
2008-01,1.096,
2008-04,1.116,
2008-07,1.100,
2008-10,1.296,
2009-01,1.328,
2009-04,1.337,
2009-07,1.347,
2009-10,1.379,
2010-01,0.983,
2010-04,1.289,
2010-07,1.256,
2010-10,1.203,
2011-01,1.179,
2011-04,1.154,
2011-07,1.152,
2011-10,1.075,
2012-01,1.049,
2012-04,1.032,
2012-07,1.138,
2012-10,1.110,
2013-01,1.098,
2013-04,1.110,
2013-07,1.133,
2013-10,1.127,
2014-01,1.127,
2014-04,0.944,
2014-07,0.957,
