"",BBFB1.Q.N.DE.BE.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:03,
1991-01,25.374,
1991-04,-64.382,
1991-07,61.143,
1991-10,232.905,
1992-01,145.470,
1992-04,-56.024,
1992-07,25.380,
1992-10,-52.743,
1993-01,5.722,
1993-04,629.975,
1993-07,342.471,
1993-10,-9.907,
1994-01,5.817,
1994-04,233.908,
1994-07,-156.603,
1994-10,-31.039,
1995-01,20.407,
1995-04,-293.447,
1995-07,-10.815,
1995-10,3.407,
1996-01,-120.578,
1996-04,-79.133,
1996-07,-21.320,
1996-10,-80.747,
1997-01,-9.879,
1997-04,-2.416,
1997-07,-5.088,
1997-10,-114.905,
1998-01,-1.704,
1998-04,2.381,
1998-07,54.559,
1998-10,-8.784,
1999-01,-130.584,
1999-04,-20.784,
1999-07,15.546,
1999-10,56.910,
2000-01,-231.931,
2000-04,-48.491,
2000-07,-21.498,
2000-10,56.335,
2001-01,-93.977,
2001-04,16.393,
2001-07,34.524,
2001-10,-99.052,
2002-01,-11.884,
2002-04,-17.119,
2002-07,-8.856,
2002-10,-77.798,
2003-01,-31.272,
2003-04,5.070,
2003-07,-24.493,
2003-10,-7.641,
2004-01,-14.078,
2004-04,-2.198,
2004-07,-25.981,
2004-10,77.369,
2005-01,29.236,
2005-04,-7.818,
2005-07,8.651,
2005-10,7.078,
2006-01,70.865,
2006-04,25.401,
2006-07,73.557,
2006-10,54.661,
2007-01,75.549,
2007-04,-21.036,
2007-07,99.597,
2007-10,70.430,
2008-01,386.338,
2008-04,-11.965,
2008-07,-36.386,
2008-10,48.698,
2009-01,-109.690,
2009-04,43.122,
2009-07,-97.498,
2009-10,-50.155,
2010-01,-59.909,
2010-04,-30.034,
2010-07,-21.522,
2010-10,-99.859,
2011-01,-35.710,
2011-04,-17.272,
2011-07,-42.279,
2011-10,-18.954,
2012-01,-16.059,
2012-04,-25.157,
2012-07,-123.027,
2012-10,-0.476,
2013-01,337.336,
2013-04,69.250,
2013-07,2.171,
2013-10,72.157,
2014-01,23.593,Provisional value
2014-04,-41.378,Provisional value
2014-07,-159.427,Provisional value
2014-10,702.753,Provisional value
