"",BBFB1.Q.N.DE.AT.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:21,
1991-01,3233.298,
1991-04,3271.524,
1991-07,3195.269,
1991-10,3372.529,
1992-01,3449.506,
1992-04,3319.743,
1992-07,3443.207,
1992-10,3424.915,
1993-01,3046.654,
1993-04,3157.080,
1993-07,3117.748,
1993-10,3371.009,
1994-01,3377.963,
1994-04,3530.557,
1994-07,3462.014,
1994-10,3867.046,
1995-01,3036.177,
1995-04,3446.940,
1995-07,3168.919,
1995-10,3267.428,
1996-01,3198.011,
1996-04,3337.456,
1996-07,3337.035,
1996-10,3562.716,
1997-01,3431.805,
1997-04,3557.078,
1997-07,3539.382,
1997-10,3816.812,
1998-01,3945.125,
1998-04,4132.963,
1998-07,3900.727,
1998-10,4336.867,
1999-01,4249.202,
1999-04,4455.071,
1999-07,4240.570,
1999-10,4598.899,
2000-01,4613.596,
2000-04,4639.169,
2000-07,4638.970,
2000-10,5391.455,
2001-01,4764.054,
2001-04,5013.344,
2001-07,4900.472,
2001-10,4974.740,
2002-01,4517.478,
2002-04,5042.634,
2002-07,4838.200,
2002-10,5480.378,
2003-01,5112.376,
2003-04,4976.151,
2003-07,5136.294,
2003-10,5459.487,
2004-01,5390.253,
2004-04,5707.839,
2004-07,6084.264,
2004-10,6264.765,
2005-01,5736.588,
2005-04,6418.489,
2005-07,6342.462,
2005-10,6941.470,
2006-01,6669.912,
2006-04,7385.587,
2006-07,7182.477,
2006-10,8177.070,
2007-01,7554.769,
2007-04,7892.876,
2007-07,7758.007,
2007-10,8323.101,
2008-01,8052.879,
2008-04,8672.450,
2008-07,8386.917,
2008-10,7753.596,
2009-01,6650.593,
2009-04,6602.160,
2009-07,6840.219,
2009-10,7144.597,
2010-01,7150.426,
2010-04,8134.693,
2010-07,8357.548,
2010-10,8794.821,
2011-01,8777.930,
2011-04,9319.566,
2011-07,9125.569,
2011-10,9092.319,
2012-01,8933.295,
2012-04,9043.067,
2012-07,8887.786,
2012-10,8989.487,
2013-01,8978.747,
2013-04,9173.092,
2013-07,9221.982,
2013-10,9462.924,
2014-01,9077.675,Provisional value
2014-04,9199.302,Provisional value
2014-07,9159.362,Provisional value
