"",BBFB1.Q.N.DE.IE.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:37,
1991-01,215.337,
1991-04,226.883,
1991-07,257.508,
1991-10,289.268,
1992-01,214.379,
1992-04,313.637,
1992-07,228.036,
1992-10,270.516,
1993-01,301.625,
1993-04,234.858,
1993-07,283.792,
1993-10,380.988,
1994-01,288.213,
1994-04,271.935,
1994-07,262.984,
1994-10,227.536,
1995-01,266.249,
1995-04,240.317,
1995-07,228.913,
1995-10,304.141,
1996-01,256.175,
1996-04,233.043,
1996-07,259.672,
1996-10,255.738,
1997-01,692.319,
1997-04,720.916,
1997-07,742.234,
1997-10,832.715,
1998-01,587.356,
1998-04,630.079,
1998-07,588.027,
1998-10,777.083,
1999-01,330.802,
1999-04,370.141,
1999-07,431.510,
1999-10,717.898,
2000-01,370.928,
2000-04,325.586,
2000-07,528.974,
2000-10,714.991,
2001-01,459.855,
2001-04,464.393,
2001-07,458.241,
2001-10,406.288,
2002-01,415.980,
2002-04,444.016,
2002-07,426.231,
2002-10,399.233,
2003-01,368.924,
2003-04,404.970,
2003-07,458.445,
2003-10,519.048,
2004-01,630.895,
2004-04,712.509,
2004-07,713.608,
2004-10,803.466,
2005-01,861.365,
2005-04,917.413,
2005-07,940.087,
2005-10,976.014,
2006-01,987.046,
2006-04,1244.131,
2006-07,1265.701,
2006-10,1415.145,
2007-01,1625.196,
2007-04,1742.751,
2007-07,1824.095,
2007-10,2029.317,
2008-01,1934.030,
2008-04,2090.093,
2008-07,1935.679,
2008-10,1734.235,
2009-01,1780.479,
2009-04,1684.607,
2009-07,1666.347,
2009-10,1718.649,
2010-01,1616.419,
2010-04,1591.508,
2010-07,1563.151,
2010-10,1557.384,
2011-01,1710.871,
2011-04,1660.180,
2011-07,1589.206,
2011-10,1513.935,
2012-01,1382.454,
2012-04,1334.911,
2012-07,1325.437,
2012-10,1335.393,
2013-01,1396.220,
2013-04,1366.971,
2013-07,1373.950,
2013-10,1416.947,
2014-01,1322.612,Provisional value
2014-04,1340.852,Provisional value
2014-07,1372.499,Provisional value
