"",BBK01.OEAN02M,BBK01.OEAN02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:00,
2002-01,37.378,
2002-04,36.995,
2002-07,36.653,
2002-10,38.013,
2003-01,38.254,
2003-04,37.870,
2003-07,37.861,
2003-10,38.618,
2004-01,38.752,
2004-04,38.601,
2004-07,38.472,
2004-10,39.764,
2005-01,42.967,
2005-04,42.971,
2005-07,42.277,
2005-10,42.800,
2006-01,42.787,
2006-04,42.541,
2006-07,42.087,
2006-10,42.117,
2007-01,41.490,
2007-04,40.823,
2007-07,40.095,
2007-10,40.396,
2008-01,39.801,
2008-04,39.320,
2008-07,38.518,
2008-10,40.100,
2009-01,40.075,
2009-04,40.425,
2009-07,40.325,
2009-10,41.048,
2010-01,41.481,
2010-04,41.806,
2010-07,41.709,
2010-10,42.480,
2011-01,43.072,
2011-04,42.853,
2011-07,42.697,
2011-10,43.117,
2012-01,43.272,
2012-04,42.824,
2012-07,42.055,
2012-10,41.953,
2013-01,42.109,
2013-04,41.829,
2013-07,41.392,
2013-10,41.410,
2014-01,40.977,
2014-04,40.479,
2014-07,40.365,
