"",BBFN1.M.DE.N.1.L.PH.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PH.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Philippines,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:39,
1994-12,0.137,
1995-01,0.152,
1995-02,0.151,
1995-03,0.161,
1995-04,0.170,
1995-05,0.176,
1995-06,0.171,
1995-07,0.163,
1995-08,0.167,
1995-09,0.246,
1995-10,0.231,
1995-11,0.217,
1995-12,0.242,
1996-01,0.256,
1996-02,0.252,
1996-03,0.268,
1996-04,0.286,
1996-05,0.296,
1996-06,0.296,
1996-07,0.312,
1996-08,0.301,
1996-09,0.300,
1996-10,0.306,
1996-11,0.290,
1996-12,0.294,
1997-01,0.312,
1997-02,0.326,
1997-03,0.373,
1997-04,0.369,
1997-05,0.413,
1997-06,0.443,
1997-07,0.484,
1997-08,0.429,
1997-09,0.411,
1997-10,0.415,
1997-11,0.410,
1997-12,0.363,
1998-01,0.321,
1998-02,0.459,
1998-03,0.312,
1998-04,0.341,
1998-05,0.341,
1998-06,0.280,
1998-07,0.322,
1998-08,0.314,
1998-09,0.238,
1998-10,0.211,
1998-11,0.235,
1998-12,0.256,
1999-01,0.288,
1999-02,0.281,
1999-03,0.283,
1999-04,0.243,
1999-05,0.222,
1999-06,0.378,
1999-07,0.429,
1999-08,0.456,
1999-09,0.301,
1999-10,0.198,
1999-11,0.401,
1999-12,0.286,
2000-01,0.293,
2000-02,0.282,
2000-03,0.373,
2000-04,0.273,
2000-05,0.327,
2000-06,0.243,
2000-07,0.233,
2000-08,0.218,
2000-09,0.166,
2000-10,0.137,
2000-11,0.177,
2000-12,0.190,
2001-01,0.161,
2001-02,0.151,
2001-03,0.167,
2001-04,0.173,
2001-05,0.190,
2001-06,0.211,
2001-07,0.121,
2001-08,0.232,
2001-09,0.288,
2001-10,0.319,
2001-11,0.328,
2001-12,0.297,
2002-01,0.311,
2002-02,0.393,
2002-03,0.410,
2002-04,0.214,
2002-05,0.399,
2002-06,0.393,
2002-07,0.353,
2002-08,0.342,
2002-09,0.148,
2002-10,0.138,
2002-11,0.145,
2002-12,0.138,
2003-01,0.128,
2003-02,0.124,
2003-03,0.123,
2003-04,0.129,
2003-05,0.136,
2003-06,0.137,
2003-07,0.094,
2003-08,0.085,
2003-09,0.082,
2003-10,0.075,
2003-11,0.078,
2003-12,0.066,
2004-01,0.062,
2004-02,0.065,
2004-03,0.070,
2004-04,0.064,
2004-05,0.059,
2004-06,0.062,
2004-07,0.062,
2004-08,0.062,
2004-09,0.065,
2004-10,0.060,
2004-11,0.059,
2004-12,0.053,
2005-01,0.052,
2005-02,0.053,
2005-03,0.053,
2005-04,0.053,
2005-05,0.055,
2005-06,0.066,
2005-07,0.070,
2005-08,0.077,
2005-09,0.089,
2005-10,0.093,
2005-11,0.087,
2005-12,0.079,
2006-01,0.094,
2006-02,0.085,
2006-03,0.091,
2006-04,0.093,
2006-05,0.093,
2006-06,0.099,
2006-07,0.102,
2006-08,0.103,
2006-09,0.113,
2006-10,0.110,
2006-11,0.092,
2006-12,0.080,
2007-01,0.087,
2007-02,0.082,
2007-03,0.085,
2007-04,0.094,
2007-05,0.098,
2007-06,0.102,
2007-07,0.102,
2007-08,0.085,
2007-09,0.096,
2007-10,0.092,
2007-11,0.093,
2007-12,0.094,
2008-01,0.099,
2008-02,0.097,
2008-03,0.101,
2008-04,0.097,
2008-05,0.102,
2008-06,0.107,
2008-07,0.114,
2008-08,0.107,
2008-09,0.116,
2008-10,0.110,
2008-11,0.129,
2008-12,0.129,
2009-01,0.138,
2009-02,0.136,
2009-03,0.125,
2009-04,0.116,
2009-05,0.125,
2009-06,0.133,
2009-07,0.119,
2009-08,0.120,
2009-09,0.121,
2009-10,0.128,
2009-11,0.139,
2009-12,0.140,
2010-01,0.136,
2010-02,0.141,
2010-03,0.147,
2010-04,0.135,
2010-05,0.148,
2010-06,0.143,
2010-07,0.146,
2010-08,0.141,
2010-09,0.130,
2010-10,0.129,
2010-11,0.135,
2010-12,0.137,
2011-01,0.141,
2011-02,0.131,
2011-03,0.130,
2011-04,0.136,
2011-05,0.141,
2011-06,0.164,
2011-07,0.188,
2011-08,0.203,
2011-09,0.194,
2011-10,0.196,
2011-11,0.195,
2011-12,0.204,
2012-01,0.216,
2012-02,0.211,
2012-03,0.219,
2012-04,0.226,
2012-05,0.232,
2012-06,0.238,
2012-07,0.228,
2012-08,0.244,
2012-09,0.232,
2012-10,0.228,
2012-11,0.234,
2012-12,0.223,
2013-01,0.230,
2013-02,0.234,
2013-03,0.226,
2013-04,0.229,
2013-05,0.183,
2013-06,0.175,
2013-07,0.176,
2013-08,0.173,
2013-09,0.187,
2013-10,0.202,
2013-11,0.212,
2013-12,0.230,
2014-01,0.243,
2014-02,0.257,
2014-03,0.269,
2014-04,0.279,
2014-05,0.289,
2014-06,0.300,
2014-07,0.281,
2014-08,0.291,
2014-09,0.283,
2014-10,0.298,
2014-11,0.277,
2014-12,0.283,
