"",BBK01.OEAH60U,BBK01.OEAH60U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:32,
2002-01,1.002,
2002-04,0.959,
2002-07,0.943,
2002-10,0.937,
2003-01,0.939,
2003-04,0.904,
2003-07,0.837,
2003-10,0.808,
2004-01,0.799,
2004-04,0.780,
2004-07,0.745,
2004-10,0.791,
2005-01,0.755,
2005-04,0.759,
2005-07,0.741,
2005-10,0.703,
2006-01,0.721,
2006-04,0.701,
2006-07,0.692,
2006-10,0.704,
2007-01,0.780,
2007-04,0.811,
2007-07,0.848,
2007-10,0.901,
2008-01,1.009,
2008-04,1.049,
2008-07,1.060,
2008-10,1.132,
2009-01,1.010,
2009-04,0.921,
2009-07,0.721,
2009-10,0.642,
2010-01,0.496,
2010-04,0.498,
2010-07,0.421,
2010-10,0.383,
2011-01,0.379,
2011-04,0.424,
2011-07,0.449,
2011-10,0.439,
2012-01,0.456,
2012-04,0.460,
2012-07,0.379,
2012-10,0.319,
2013-01,0.314,
2013-04,0.288,
2013-07,0.276,
2013-10,0.253,
2014-01,0.254,
2014-04,0.245,
2014-07,0.222,
