"",BBFN1.M.DE.N.1.L.CN.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CN.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"","Liabilities of enterprises vis-à-vis non-residents / Total / China, People's Republic of",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:05,
1994-12,1.121,
1995-01,1.142,
1995-02,1.220,
1995-03,1.263,
1995-04,1.320,
1995-05,1.370,
1995-06,1.406,
1995-07,1.397,
1995-08,1.406,
1995-09,1.326,
1995-10,1.289,
1995-11,1.300,
1995-12,1.297,
1996-01,1.367,
1996-02,1.380,
1996-03,1.349,
1996-04,1.362,
1996-05,1.227,
1996-06,1.238,
1996-07,1.253,
1996-08,1.271,
1996-09,1.173,
1996-10,1.147,
1996-11,1.131,
1996-12,1.214,
1997-01,1.230,
1997-02,1.212,
1997-03,1.266,
1997-04,1.305,
1997-05,1.329,
1997-06,1.356,
1997-07,1.445,
1997-08,1.389,
1997-09,1.364,
1997-10,1.375,
1997-11,1.469,
1997-12,1.439,
1998-01,1.410,
1998-02,1.471,
1998-03,1.392,
1998-04,1.537,
1998-05,1.461,
1998-06,1.353,
1998-07,1.495,
1998-08,1.554,
1998-09,1.524,
1998-10,1.451,
1998-11,1.500,
1998-12,1.445,
1999-01,1.570,
1999-02,1.564,
1999-03,1.536,
1999-04,1.370,
1999-05,1.448,
1999-06,1.438,
1999-07,1.492,
1999-08,1.528,
1999-09,1.392,
1999-10,1.500,
1999-11,1.479,
1999-12,1.515,
2000-01,1.602,
2000-02,1.572,
2000-03,1.525,
2000-04,1.543,
2000-05,1.578,
2000-06,1.579,
2000-07,1.559,
2000-08,1.556,
2000-09,1.505,
2000-10,1.561,
2000-11,1.581,
2000-12,1.725,
2001-01,1.665,
2001-02,1.722,
2001-03,1.699,
2001-04,1.730,
2001-05,1.675,
2001-06,1.896,
2001-07,1.723,
2001-08,1.835,
2001-09,2.095,
2001-10,2.035,
2001-11,2.052,
2001-12,1.963,
2002-01,1.869,
2002-02,1.869,
2002-03,1.866,
2002-04,1.921,
2002-05,2.017,
2002-06,1.930,
2002-07,1.987,
2002-08,1.964,
2002-09,2.115,
2002-10,2.192,
2002-11,2.220,
2002-12,2.140,
2003-01,2.178,
2003-02,1.986,
2003-03,2.098,
2003-04,2.191,
2003-05,2.278,
2003-06,2.358,
2003-07,2.432,
2003-08,2.548,
2003-09,2.574,
2003-10,2.573,
2003-11,2.710,
2003-12,2.877,
2004-01,2.794,
2004-02,2.840,
2004-03,3.091,
2004-04,3.148,
2004-05,3.256,
2004-06,3.352,
2004-07,3.442,
2004-08,3.438,
2004-09,3.463,
2004-10,3.680,
2004-11,3.721,
2004-12,3.704,
2005-01,3.612,
2005-02,3.589,
2005-03,3.734,
2005-04,3.847,
2005-05,3.922,
2005-06,3.769,
2005-07,3.910,
2005-08,3.851,
2005-09,3.627,
2005-10,3.778,
2005-11,3.891,
2005-12,3.705,
2006-01,3.736,
2006-02,3.946,
2006-03,4.036,
2006-04,4.040,
2006-05,4.088,
2006-06,4.237,
2006-07,4.528,
2006-08,4.700,
2006-09,4.757,
2006-10,4.898,
2006-11,4.752,
2006-12,5.008,
2007-01,4.860,
2007-02,4.757,
2007-03,4.921,
2007-04,5.184,
2007-05,4.881,
2007-06,5.257,
2007-07,5.422,
2007-08,5.507,
2007-09,5.596,
2007-10,5.674,
2007-11,5.614,
2007-12,5.672,
2008-01,5.492,
2008-02,5.434,
2008-03,5.750,
2008-04,5.623,
2008-05,5.653,
2008-06,5.831,
2008-07,6.077,
2008-08,6.152,
2008-09,6.428,
2008-10,6.488,
2008-11,6.543,
2008-12,6.549,
2009-01,6.361,
2009-02,6.290,
2009-03,6.306,
2009-04,6.266,
2009-05,6.295,
2009-06,6.324,
2009-07,6.391,
2009-08,6.397,
2009-09,5.899,
2009-10,5.896,
2009-11,5.860,
2009-12,5.981,
2010-01,5.991,
2010-02,5.973,
2010-03,6.136,
2010-04,6.228,
2010-05,6.538,
2010-06,6.548,
2010-07,6.693,
2010-08,7.000,
2010-09,6.628,
2010-10,6.863,
2010-11,6.878,
2010-12,7.279,
2011-01,7.360,
2011-02,7.268,
2011-03,7.473,
2011-04,7.710,
2011-05,7.776,
2011-06,7.721,
2011-07,8.135,
2011-08,8.142,
2011-09,8.264,
2011-10,8.002,
2011-11,8.120,
2011-12,8.611,
2012-01,8.185,
2012-02,8.480,
2012-03,8.686,
2012-04,8.941,
2012-05,9.181,
2012-06,9.175,
2012-07,9.295,
2012-08,9.354,
2012-09,9.475,
2012-10,9.178,
2012-11,9.355,
2012-12,9.263,
2013-01,9.095,
2013-02,9.040,
2013-03,9.161,
2013-04,9.146,
2013-05,9.263,
2013-06,9.324,
2013-07,8.887,
2013-08,8.857,
2013-09,9.198,
2013-10,9.213,
2013-11,9.364,
2013-12,9.312,
2014-01,9.177,
2014-02,9.297,
2014-03,9.362,
2014-04,9.186,
2014-05,9.406,
2014-06,9.811,
2014-07,9.847,
2014-08,10.226,
2014-09,10.887,
2014-10,10.560,
2014-11,10.319,
2014-12,10.562,
"",General: Excluding Hong Kong.,
