"",BBK01.OEHM03T,BBK01.OEHM03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:42,
2002-01,0.212,
2002-04,0.202,
2002-07,0.172,
2002-10,0.151,
2003-01,0.164,
2003-04,0.141,
2003-07,0.126,
2003-10,0.124,
2004-01,0.124,
2004-04,0.128,
2004-07,0.120,
2004-10,0.118,
2005-01,0.103,
2005-04,0.132,
2005-07,0.145,
2005-10,0.147,
2006-01,0.138,
2006-04,0.139,
2006-07,0.159,
2006-10,0.207,
2007-01,0.168,
2007-04,0.182,
2007-07,0.172,
2007-10,0.154,
2008-01,0.167,
2008-04,0.190,
2008-07,0.172,
2008-10,0.142,
2009-01,0.118,
2009-04,0.117,
2009-07,0.098,
2009-10,0.064,
2010-01,0.063,
2010-04,0.050,
2010-07,0.040,
2010-10,0.043,
2011-01,0.044,
2011-04,0.057,
2011-07,0.057,
2011-10,0.052,
2012-01,0.043,
2012-04,0.041,
2012-07,0.040,
2012-10,0.028,
2013-01,0.031,
2013-04,0.026,
2013-07,0.024,
2013-10,0.024,
2014-01,0.029,
2014-04,0.024,
2014-07,0.026,
