"",BBK01.OEAH04S,BBK01.OEAH04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:09,
2002-01,2.688,
2002-04,2.564,
2002-07,2.510,
2002-10,2.345,
2003-01,2.115,
2003-04,2.018,
2003-07,1.970,
2003-10,1.901,
2004-01,1.735,
2004-04,1.649,
2004-07,1.642,
2004-10,1.746,
2005-01,1.712,
2005-04,1.763,
2005-07,1.736,
2005-10,1.751,
2006-01,1.861,
2006-04,1.926,
2006-07,2.059,
2006-10,2.043,
2007-01,2.288,
2007-04,2.497,
2007-07,2.673,
2007-10,2.801,
2008-01,3.027,
2008-04,3.146,
2008-07,3.464,
2008-10,3.273,
2009-01,2.682,
2009-04,2.177,
2009-07,1.850,
2009-10,1.584,
2010-01,1.471,
2010-04,1.506,
2010-07,1.606,
2010-10,1.498,
2011-01,1.696,
2011-04,1.713,
2011-07,1.726,
2011-10,2.303,
2012-01,2.479,
2012-04,2.581,
2012-07,2.569,
2012-10,2.447,
2013-01,2.129,
2013-04,2.435,
2013-07,2.258,
2013-10,2.193,
2014-01,2.227,
2014-04,2.209,
2014-07,2.105,
