"",BBK01.OEYI03S,BBK01.OEYI03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:52,
2002-01,4.478,
2002-04,4.542,
2002-07,4.561,
2002-10,4.844,
2003-01,5.005,
2003-04,5.054,
2003-07,5.069,
2003-10,5.485,
2004-01,5.537,
2004-04,5.591,
2004-07,5.608,
2004-10,4.460,
2005-01,4.633,
2005-04,4.674,
2005-07,4.719,
2005-10,4.970,
2006-01,5.063,
2006-04,5.148,
2006-07,5.130,
2006-10,5.456,
2007-01,5.414,
2007-04,5.448,
2007-07,5.517,
2007-10,5.808,
2008-01,5.812,
2008-04,5.681,
2008-07,5.702,
2008-10,5.647,
2009-01,5.884,
2009-04,4.508,
2009-07,4.658,
2009-10,4.882,
2010-01,4.930,
2010-04,5.024,
2010-07,5.106,
2010-10,4.921,
2011-01,4.952,
2011-04,4.920,
2011-07,4.913,
2011-10,5.064,
2012-01,5.101,
2012-04,5.126,
2012-07,5.272,
2012-10,5.102,
2013-01,5.259,
2013-04,5.475,
2013-07,5.493,
2013-10,5.616,
2014-01,5.684,
2014-04,5.713,
2014-07,5.805,
