"",BBFB1.M.N.DE.W1.S1.S1.T.C.SB._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SB._Z._Z._Z._T._X.N_FLAGS
"",Current account / Maintenance and repair service / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:40,
1991-01,74.526,
1991-02,104.123,
1991-03,55.446,
1991-04,80.840,
1991-05,34.766,
1991-06,47.345,
1991-07,103.932,
1991-08,48.733,
1991-09,87.383,
1991-10,68.911,
1991-11,81.152,
1991-12,95.807,
1992-01,54.991,
1992-02,103.133,
1992-03,53.231,
1992-04,57.727,
1992-05,52.188,
1992-06,63.630,
1992-07,54.210,
1992-08,52.982,
1992-09,72.563,
1992-10,66.372,
1992-11,46.118,
1992-12,96.758,
1993-01,43.609,
1993-02,87.945,
1993-03,17.468,
1993-04,54.689,
1993-05,53.190,
1993-06,52.833,
1993-07,76.961,
1993-08,47.961,
1993-09,74.328,
1993-10,42.240,
1993-11,90.805,
1993-12,109.951,
1994-01,65.681,
1994-02,84.974,
1994-03,40.670,
1994-04,74.023,
1994-05,55.442,
1994-06,72.513,
1994-07,89.225,
1994-08,79.009,
1994-09,67.578,
1994-10,87.190,
1994-11,76.362,
1994-12,63.259,
1995-01,96.220,
1995-02,80.404,
1995-03,41.945,
1995-04,53.992,
1995-05,94.360,
1995-06,74.374,
1995-07,68.016,
1995-08,76.080,
1995-09,68.052,
1995-10,99.240,
1995-11,74.009,
1995-12,76.215,
1996-01,86.272,
1996-02,69.488,
1996-03,49.860,
1996-04,88.569,
1996-05,65.407,
1996-06,82.095,
1996-07,86.495,
1996-08,101.587,
1996-09,62.583,
1996-10,108.966,
1996-11,106.043,
1996-12,121.088,
1997-01,117.204,
1997-02,98.621,
1997-03,88.681,
1997-04,150.905,
1997-05,86.121,
1997-06,135.520,
1997-07,79.044,
1997-08,143.317,
1997-09,149.692,
1997-10,123.253,
1997-11,170.124,
1997-12,167.670,
1998-01,112.704,
1998-02,111.931,
1998-03,188.406,
1998-04,131.369,
1998-05,117.199,
1998-06,162.922,
1998-07,150.555,
1998-08,152.866,
1998-09,151.923,
1998-10,105.078,
1998-11,155.824,
1998-12,128.777,
1999-01,141.465,
1999-02,80.780,
1999-03,152.653,
1999-04,103.877,
1999-05,94.674,
1999-06,133.204,
1999-07,153.868,
1999-08,124.208,
1999-09,145.783,
1999-10,144.419,
1999-11,117.842,
1999-12,179.576,
2000-01,141.282,
2000-02,142.104,
2000-03,110.308,
2000-04,169.776,
2000-05,149.982,
2000-06,125.078,
2000-07,167.174,
2000-08,124.734,
2000-09,185.683,
2000-10,148.203,
2000-11,131.662,
2000-12,133.980,
2001-01,149.485,
2001-02,110.459,
2001-03,136.472,
2001-04,130.170,
2001-05,133.864,
2001-06,149.951,
2001-07,154.980,
2001-08,155.039,
2001-09,142.064,
2001-10,167.063,
2001-11,124.078,
2001-12,148.035,
2002-01,177.065,
2002-02,194.595,
2002-03,251.088,
2002-04,167.174,
2002-05,131.116,
2002-06,130.115,
2002-07,236.567,
2002-08,204.044,
2002-09,187.433,
2002-10,198.389,
2002-11,200.919,
2002-12,225.963,
2003-01,187.712,
2003-02,193.621,
2003-03,209.028,
2003-04,183.298,
2003-05,169.997,
2003-06,199.365,
2003-07,217.760,
2003-08,182.717,
2003-09,236.090,
2003-10,125.564,
2003-11,182.724,
2003-12,259.537,
2004-01,154.948,
2004-02,174.434,
2004-03,218.104,
2004-04,127.339,
2004-05,174.148,
2004-06,191.519,
2004-07,185.766,
2004-08,197.849,
2004-09,215.648,
2004-10,169.621,
2004-11,189.824,
2004-12,290.193,
2005-01,163.917,
2005-02,180.236,
2005-03,225.491,
2005-04,259.581,
2005-05,254.074,
2005-06,300.163,
2005-07,241.924,
2005-08,183.192,
2005-09,266.447,
2005-10,220.110,
2005-11,230.547,
2005-12,428.090,
2006-01,208.737,
2006-02,198.486,
2006-03,261.101,
2006-04,217.138,
2006-05,270.213,
2006-06,263.778,
2006-07,258.686,
2006-08,235.199,
2006-09,264.109,
2006-10,274.829,
2006-11,250.063,
2006-12,443.999,
2007-01,199.128,
2007-02,225.448,
2007-03,229.265,
2007-04,255.030,
2007-05,259.626,
2007-06,215.240,
2007-07,230.453,
2007-08,219.033,
2007-09,238.995,
2007-10,222.072,
2007-11,176.923,
2007-12,317.017,
2008-01,177.759,
2008-02,191.376,
2008-03,160.733,
2008-04,171.996,
2008-05,222.814,
2008-06,169.002,
2008-07,199.027,
2008-08,181.612,
2008-09,202.780,
2008-10,162.975,
2008-11,147.722,
2008-12,227.678,
2009-01,191.499,
2009-02,196.726,
2009-03,242.442,
2009-04,230.257,
2009-05,151.763,
2009-06,224.635,
2009-07,216.411,
2009-08,217.830,
2009-09,193.968,
2009-10,208.046,
2009-11,235.097,
2009-12,221.153,
2010-01,166.314,
2010-02,164.516,
2010-03,197.530,
2010-04,195.440,
2010-05,204.753,
2010-06,215.571,
2010-07,196.117,
2010-08,203.625,
2010-09,214.328,
2010-10,199.905,
2010-11,204.883,
2010-12,215.346,
2011-01,171.984,
2011-02,157.665,
2011-03,164.928,
2011-04,181.891,
2011-05,163.720,
2011-06,154.087,
2011-07,145.709,
2011-08,176.192,
2011-09,175.658,
2011-10,186.408,
2011-11,181.886,
2011-12,254.282,
2012-01,230.060,
2012-02,170.623,
2012-03,202.973,
2012-04,175.039,
2012-05,208.235,
2012-06,192.818,
2012-07,230.390,
2012-08,199.135,
2012-09,187.347,
2012-10,228.174,
2012-11,215.865,
2012-12,240.827,
2013-01,302.575,
2013-02,326.994,
2013-03,390.684,
