"",BBK01.OECO05H,BBK01.OECO05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:50,
2002-01,0.010,
2002-04,0.006,
2002-07,0.006,
2002-10,0.178,
2003-01,0.005,
2003-04,0.006,
2003-07,0.005,
2003-10,0.206,
2004-01,-0.008,
2004-04,0.064,
2004-07,0.005,
2004-10,0.142,
2005-01,0.009,
2005-04,0.015,
2005-07,0.008,
2005-10,0.179,
2006-01,0.021,
2006-04,0.007,
2006-07,0.010,
2006-10,0.163,
2007-01,0.010,
2007-04,0.009,
2007-07,0.010,
2007-10,0.191,
2008-01,0.014,
2008-04,0.012,
2008-07,0.015,
2008-10,0.198,
2009-01,0.016,
2009-04,0.015,
2009-07,0.018,
2009-10,0.196,
2010-01,0.014,
2010-04,0.007,
2010-07,0.008,
2010-10,0.129,
2011-01,0.004,
2011-04,0.006,
2011-07,0.009,
2011-10,0.017,
2012-01,0.005,
2012-04,0.007,
2012-07,0.008,
2012-10,0.114,
2013-01,0.015,
2013-04,0.004,
2013-07,0.005,
2013-10,0.064,
2014-01,0.002,
2014-04,0.002,
2014-07,0.003,
