"",BBK01.OEAA35I,BBK01.OEAA35I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:20,
2002-01,2.092,
2002-04,2.223,
2002-07,2.339,
2002-10,2.155,
2003-01,2.187,
2003-04,2.238,
2003-07,2.163,
2003-10,1.853,
2004-01,1.876,
2004-04,1.887,
2004-07,1.919,
2004-10,1.781,
2005-01,1.826,
2005-04,1.762,
2005-07,1.960,
2005-10,2.059,
2006-01,1.953,
2006-04,1.664,
2006-07,1.747,
2006-10,1.616,
2007-01,1.622,
2007-04,1.665,
2007-07,1.687,
2007-10,1.681,
2008-01,1.867,
2008-04,2.028,
2008-07,2.168,
2008-10,2.540,
2009-01,2.176,
2009-04,2.200,
2009-07,2.338,
2009-10,2.313,
2010-01,2.384,
2010-04,2.491,
2010-07,2.539,
2010-10,2.487,
2011-01,2.256,
2011-04,2.312,
2011-07,2.301,
2011-10,2.275,
2012-01,2.262,
2012-04,2.346,
2012-07,2.368,
2012-10,2.413,
2013-01,2.283,
2013-04,2.378,
2013-07,2.554,
2013-10,2.757,
2014-01,2.563,
2014-04,2.610,
2014-07,2.742,
