"",BBK01.OEAH87K,BBK01.OEAH87K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:00,
2002-01,3.769,
2002-04,3.971,
2002-07,4.223,
2002-10,3.754,
2003-01,4.502,
2003-04,3.853,
2003-07,4.020,
2003-10,3.191,
2004-01,3.058,
2004-04,3.163,
2004-07,3.306,
2004-10,2.572,
2005-01,2.368,
2005-04,3.856,
2005-07,3.270,
2005-10,3.569,
2006-01,3.761,
2006-04,3.795,
2006-07,2.228,
2006-10,2.295,
2007-01,2.450,
2007-04,2.217,
2007-07,2.685,
2007-10,2.539,
2008-01,2.469,
2008-04,2.676,
2008-07,2.753,
2008-10,2.835,
2009-01,2.049,
2009-04,1.916,
2009-07,1.599,
2009-10,1.138,
2010-01,0.964,
2010-04,0.995,
2010-07,1.177,
2010-10,1.108,
2011-01,0.846,
2011-04,0.897,
2011-07,0.949,
2011-10,1.089,
2012-01,0.795,
2012-04,0.782,
2012-07,0.717,
2012-10,1.609,
2013-01,1.583,
2013-04,1.506,
2013-07,2.946,
2013-10,2.063,
2014-01,2.027,
2014-04,2.073,
2014-07,2.021,
