"",BBK01.OEAH85T,BBK01.OEAH85T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:07,
2002-01,0.253,
2002-04,0.284,
2002-07,0.306,
2002-10,0.309,
2003-01,0.315,
2003-04,0.301,
2003-07,0.310,
2003-10,0.131,
2004-01,0.327,
2004-04,0.328,
2004-07,0.193,
2004-10,0.150,
2005-01,0.198,
2005-04,0.213,
2005-07,0.207,
2005-10,0.260,
2006-01,0.352,
2006-04,0.395,
2006-07,0.279,
2006-10,0.358,
2007-01,0.466,
2007-04,0.395,
2007-07,0.519,
2007-10,0.215,
2008-01,0.197,
2008-04,0.503,
2008-07,0.359,
2008-10,0.163,
2009-01,0.156,
2009-04,0.189,
2009-07,0.292,
2009-10,0.354,
2010-01,0.387,
2010-04,0.142,
2010-07,0.121,
2010-10,0.106,
2011-01,0.093,
2011-04,0.089,
2011-07,0.095,
2011-10,0.091,
2012-01,0.093,
2012-04,0.098,
2012-07,0.103,
2012-10,0.106,
2013-01,0.101,
2013-04,0.116,
2013-07,0.101,
2013-10,0.104,
2014-01,0.094,
2014-04,0.096,
2014-07,0.095,
