"",BBFN1.M.DE.N.1.L.NO.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NO.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Norway,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:53,
1994-12,0.523,
1995-01,0.468,
1995-02,0.517,
1995-03,0.520,
1995-04,0.505,
1995-05,0.529,
1995-06,0.541,
1995-07,0.511,
1995-08,0.466,
1995-09,0.459,
1995-10,0.514,
1995-11,0.509,
1995-12,0.548,
1996-01,0.519,
1996-02,0.537,
1996-03,0.525,
1996-04,0.521,
1996-05,0.482,
1996-06,0.510,
1996-07,0.510,
1996-08,0.568,
1996-09,0.646,
1996-10,0.644,
1996-11,0.669,
1996-12,0.681,
1997-01,0.729,
1997-02,0.706,
1997-03,0.656,
1997-04,0.594,
1997-05,0.642,
1997-06,0.674,
1997-07,0.633,
1997-08,0.630,
1997-09,0.647,
1997-10,0.700,
1997-11,0.699,
1997-12,0.812,
1998-01,0.691,
1998-02,0.679,
1998-03,0.629,
1998-04,0.649,
1998-05,0.585,
1998-06,0.563,
1998-07,0.573,
1998-08,0.578,
1998-09,0.629,
1998-10,0.604,
1998-11,0.701,
1998-12,0.670,
1999-01,0.693,
1999-02,0.593,
1999-03,0.568,
1999-04,0.559,
1999-05,0.524,
1999-06,0.557,
1999-07,0.527,
1999-08,0.474,
1999-09,0.514,
1999-10,0.519,
1999-11,0.511,
1999-12,0.807,
2000-01,0.701,
2000-02,0.699,
2000-03,0.749,
2000-04,0.776,
2000-05,0.731,
2000-06,0.814,
2000-07,0.767,
2000-08,0.803,
2000-09,1.816,
2000-10,1.786,
2000-11,1.823,
2000-12,2.152,
2001-01,1.232,
2001-02,0.966,
2001-03,1.046,
2001-04,1.054,
2001-05,0.933,
2001-06,0.982,
2001-07,1.044,
2001-08,0.817,
2001-09,0.852,
2001-10,0.756,
2001-11,0.873,
2001-12,1.304,
2002-01,0.968,
2002-02,0.842,
2002-03,0.741,
2002-04,0.701,
2002-05,1.131,
2002-06,1.276,
2002-07,1.199,
2002-08,1.230,
2002-09,1.453,
2002-10,1.340,
2002-11,1.527,
2002-12,1.511,
2003-01,1.516,
2003-02,1.574,
2003-03,1.639,
2003-04,1.603,
2003-05,1.461,
2003-06,1.593,
2003-07,1.683,
2003-08,1.749,
2003-09,1.891,
2003-10,1.811,
2003-11,1.829,
2003-12,1.924,
2004-01,1.885,
2004-02,1.643,
2004-03,1.773,
2004-04,1.692,
2004-05,1.647,
2004-06,1.854,
2004-07,1.767,
2004-08,1.620,
2004-09,1.789,
2004-10,1.966,
2004-11,1.886,
2004-12,1.858,
2005-01,2.036,
2005-02,1.744,
2005-03,1.584,
2005-04,1.613,
2005-05,1.411,
2005-06,1.564,
2005-07,1.629,
2005-08,1.662,
2005-09,1.767,
2005-10,1.754,
2005-11,1.656,
2005-12,2.348,
2006-01,2.282,
2006-02,2.370,
2006-03,2.416,
2006-04,2.777,
2006-05,2.485,
2006-06,2.643,
2006-07,2.651,
2006-08,2.074,
2006-09,2.289,
2006-10,2.169,
2006-11,2.298,
2006-12,2.825,
2007-01,2.414,
2007-02,2.108,
2007-03,2.746,
2007-04,2.691,
2007-05,2.563,
2007-06,2.962,
2007-07,2.747,
2007-08,2.764,
2007-09,3.194,
2007-10,2.658,
2007-11,2.622,
2007-12,3.050,
2008-01,3.009,
2008-02,2.860,
2008-03,3.184,
2008-04,3.068,
2008-05,3.082,
2008-06,3.336,
2008-07,3.132,
2008-08,3.176,
2008-09,3.244,
2008-10,2.958,
2008-11,3.700,
2008-12,3.262,
2009-01,3.719,
2009-02,3.415,
2009-03,2.625,
2009-04,2.472,
2009-05,2.656,
2009-06,2.634,
2009-07,2.695,
2009-08,2.787,
2009-09,2.688,
2009-10,2.899,
2009-11,2.619,
2009-12,2.949,
2010-01,2.721,
2010-02,2.891,
2010-03,2.850,
2010-04,2.756,
2010-05,2.715,
2010-06,2.818,
2010-07,2.998,
2010-08,2.784,
2010-09,2.885,
2010-10,2.877,
2010-11,2.570,
2010-12,2.923,
2011-01,3.279,
2011-02,2.539,
2011-03,2.931,
2011-04,3.253,
2011-05,2.598,
2011-06,2.977,
2011-07,3.282,
2011-08,2.754,
2011-09,2.804,
2011-10,2.813,
2011-11,2.886,
2011-12,3.000,
2012-01,3.022,
2012-02,2.477,
2012-03,3.161,
2012-04,3.093,
2012-05,2.853,
2012-06,3.502,
2012-07,2.935,
2012-08,2.940,
2012-09,3.303,
2012-10,3.131,
2012-11,2.790,
2012-12,3.163,
2013-01,3.203,
2013-02,3.075,
2013-03,3.451,
2013-04,3.213,
2013-05,3.216,
2013-06,3.221,
2013-07,2.653,
2013-08,2.850,
2013-09,3.332,
2013-10,3.480,
2013-11,3.515,
2013-12,3.383,
2014-01,3.474,
2014-02,3.532,
2014-03,4.065,
2014-04,3.843,
2014-05,3.580,
2014-06,3.516,
2014-07,3.482,
2014-08,3.600,
2014-09,3.524,
2014-10,3.555,
2014-11,3.620,
2014-12,3.880,
