"",BBK01.OEAA41K,BBK01.OEAA41K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:09,
2002-01,16.335,
2002-04,16.167,
2002-07,17.655,
2002-10,17.520,
2003-01,17.405,
2003-04,17.478,
2003-07,17.359,
2003-10,17.726,
2004-01,17.329,
2004-04,17.086,
2004-07,16.525,
2004-10,15.759,
2005-01,16.080,
2005-04,16.658,
2005-07,16.052,
2005-10,16.096,
2006-01,16.389,
2006-04,16.103,
2006-07,16.163,
2006-10,15.865,
2007-01,15.724,
2007-04,16.255,
2007-07,15.838,
2007-10,15.870,
2008-01,15.485,
2008-04,15.157,
2008-07,14.861,
2008-10,14.986,
2009-01,15.313,
2009-04,14.680,
2009-07,14.839,
2009-10,14.568,
2010-01,14.423,
2010-04,14.248,
2010-07,12.207,
2010-10,12.084,
2011-01,12.117,
2011-04,11.719,
2011-07,11.626,
2011-10,11.451,
2012-01,10.978,
2012-04,9.955,
2012-07,10.414,
2012-10,11.102,
2013-01,10.735,
2013-04,10.687,
2013-07,10.190,
2013-10,10.105,
2014-01,9.993,
2014-04,9.662,
2014-07,9.484,
