"",BBK01.OECB18I,BBK01.OECB18I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:04,
2002-01,0.331,
2002-04,0.333,
2002-07,0.335,
2002-10,0.315,
2003-01,0.319,
2003-04,0.313,
2003-07,0.302,
2003-10,0.281,
2004-01,0.265,
2004-04,0.260,
2004-07,0.255,
2004-10,0.244,
2005-01,0.298,
2005-04,0.286,
2005-07,0.305,
2005-10,0.433,
2006-01,0.386,
2006-04,0.274,
2006-07,0.276,
2006-10,0.246,
2007-01,0.258,
2007-04,0.259,
2007-07,0.205,
2007-10,0.245,
2008-01,0.244,
2008-04,0.260,
2008-07,0.271,
2008-10,0.466,
2009-01,0.250,
2009-04,0.234,
2009-07,0.300,
2009-10,0.277,
2010-01,0.333,
2010-04,0.408,
2010-07,0.450,
2010-10,0.458,
2011-01,0.304,
2011-04,0.299,
2011-07,0.251,
2011-10,0.220,
2012-01,0.253,
2012-04,0.212,
2012-07,0.207,
2012-10,0.241,
2013-01,0.230,
2013-04,0.183,
2013-07,0.237,
2013-10,0.160,
2014-01,0.160,
2014-04,0.163,
2014-07,0.159,
