"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.AT.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.AT.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Austria,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:58,
2009-09,534,
2009-10,531,
2009-11,529,
2009-12,542,
2010-01,533,
2010-02,547,
2010-03,565,
2010-04,565,
2010-05,481,
2010-06,466,
2010-07,487,
2010-08,466,
2010-09,485,
2010-10,521,
2010-11,532,
2010-12,596,
2011-01,589,
2011-02,589,
2011-03,571,
2011-04,580,
2011-05,560,
2011-06,636,
2011-07,618,
2011-08,526,
2011-09,447,
2011-10,468,
2011-11,422,
2011-12,425,
2012-01,474,
2012-02,507,
2012-03,482,
2012-04,475,
2012-05,413,
2012-06,396,
2012-07,422,
2012-08,417,
2012-09,419,
2012-10,454,
2012-11,467,
2012-12,502,
2013-01,513,
2013-02,515,
2013-03,498,
2013-04,466,
2013-05,425,
2013-06,376,
2013-07,391,
2013-08,401,
2013-09,408,
2013-10,409,
2013-11,421,
2013-12,405,
2014-01,452,
2014-02,457,
2014-03,477,
2014-04,477,
2014-05,485,
2014-06,509,
2014-07,477,
2014-08,465,
2014-09,432,
2014-10,441,
2014-11,446,
