"",BBK01.OEXB11S,BBK01.OEXB11S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:03,
2002-01,0.040,
2002-04,0.035,
2002-07,0.042,
2002-10,0.047,
2003-01,0.046,
2003-04,0.046,
2003-07,0.048,
2003-10,0.050,
2004-01,0.052,
2004-04,0.052,
2004-07,0.052,
2004-10,0.054,
2005-01,0.053,
2005-04,0.060,
2005-07,0.054,
2005-10,0.053,
2006-01,0.052,
2006-04,0.055,
2006-07,0.052,
2006-10,0.056,
2007-01,0.058,
2007-04,0.060,
2007-07,0.061,
2007-10,0.039,
2008-01,0.046,
2008-04,0.046,
2008-07,0.038,
2008-10,0.039,
2009-01,0.034,
2009-04,0.033,
2009-07,0.035,
2009-10,0.031,
2010-01,0.039,
2010-04,0.039,
2010-07,0.049,
2010-10,0.048,
2011-01,0.050,
2011-04,0.050,
2011-07,0.051,
2011-10,0.047,
2012-01,0.049,
2012-04,0.049,
2012-07,0.047,
2012-10,0.044,
2013-01,0.045,
2013-04,0.047,
2013-07,0.045,
2013-10,0.045,
2014-01,0.046,
2014-04,0.048,
2014-07,0.058,
