"",BBFN1.M.DE.N.1.A.ZA.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ZA.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / South Africa,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:48,
1994-07,0.961,
1994-08,1.155,
1994-09,1.151,
1994-10,1.165,
1994-11,1.188,
1994-12,1.199,
1995-01,1.168,
1995-02,1.176,
1995-03,1.174,
1995-04,1.180,
1995-05,1.235,
1995-06,1.236,
1995-07,1.244,
1995-08,1.208,
1995-09,1.188,
1995-10,1.118,
1995-11,1.102,
1995-12,1.141,
1996-01,1.077,
1996-02,1.081,
1996-03,1.170,
1996-04,1.099,
1996-05,1.131,
1996-06,1.119,
1996-07,1.135,
1996-08,1.119,
1996-09,1.142,
1996-10,1.080,
1996-11,1.054,
1996-12,1.017,
1997-01,0.974,
1997-02,1.008,
1997-03,0.990,
1997-04,0.978,
1997-05,0.912,
1997-06,0.876,
1997-07,0.892,
1997-08,0.935,
1997-09,0.910,
1997-10,0.910,
1997-11,0.903,
1997-12,0.914,
1998-01,0.901,
1998-02,0.970,
1998-03,0.927,
1998-04,0.934,
1998-05,0.978,
1998-06,0.972,
1998-07,0.978,
1998-08,0.951,
1998-09,0.952,
1998-10,0.938,
1998-11,0.940,
1998-12,0.935,
1999-01,0.937,
1999-02,0.896,
1999-03,0.890,
1999-04,0.792,
1999-05,0.880,
1999-06,0.938,
1999-07,0.962,
1999-08,0.949,
1999-09,0.962,
1999-10,0.997,
1999-11,0.898,
1999-12,0.950,
2000-01,0.945,
2000-02,1.000,
2000-03,0.996,
2000-04,0.968,
2000-05,1.005,
2000-06,0.984,
2000-07,1.035,
2000-08,1.099,
2000-09,1.118,
2000-10,1.113,
2000-11,1.159,
2000-12,1.135,
2001-01,1.065,
2001-02,1.101,
2001-03,1.054,
2001-04,1.093,
2001-05,1.072,
2001-06,1.143,
2001-07,1.172,
2001-08,1.174,
2001-09,1.267,
2001-10,1.224,
2001-11,1.197,
2001-12,1.090,
2002-01,1.078,
2002-02,1.035,
2002-03,1.056,
2002-04,1.044,
2002-05,1.172,
2002-06,1.118,
2002-07,1.100,
2002-08,1.107,
2002-09,1.083,
2002-10,1.014,
2002-11,0.990,
2002-12,1.007,
2003-01,1.001,
2003-02,1.067,
2003-03,0.986,
2003-04,0.988,
2003-05,0.966,
2003-06,0.984,
2003-07,0.989,
2003-08,1.019,
2003-09,0.980,
2003-10,0.956,
2003-11,0.927,
2003-12,0.915,
2004-01,0.857,
2004-02,0.862,
2004-03,0.932,
2004-04,0.960,
2004-05,0.998,
2004-06,1.022,
2004-07,1.065,
2004-08,1.055,
2004-09,1.055,
2004-10,1.080,
2004-11,1.022,
2004-12,1.081,
2005-01,1.090,
2005-02,1.090,
2005-03,1.052,
2005-04,1.043,
2005-05,1.047,
2005-06,1.091,
2005-07,1.079,
2005-08,1.072,
2005-09,1.195,
2005-10,1.222,
2005-11,1.226,
2005-12,1.268,
2006-01,1.299,
2006-02,1.325,
2006-03,1.431,
2006-04,1.413,
2006-05,1.433,
2006-06,1.490,
2006-07,1.483,
2006-08,1.486,
2006-09,1.371,
2006-10,1.432,
2006-11,1.281,
2006-12,1.371,
2007-01,1.274,
2007-02,1.388,
2007-03,1.273,
2007-04,1.261,
2007-05,1.232,
2007-06,1.235,
2007-07,1.283,
2007-08,1.423,
2007-09,1.400,
2007-10,1.421,
2007-11,1.345,
2007-12,1.343,
2008-01,1.340,
2008-02,1.321,
2008-03,1.315,
2008-04,1.344,
2008-05,1.338,
2008-06,1.335,
2008-07,1.341,
2008-08,1.269,
2008-09,1.265,
2008-10,1.252,
2008-11,1.120,
2008-12,1.131,
2009-01,1.076,
2009-02,1.068,
2009-03,0.982,
2009-04,0.898,
2009-05,0.912,
2009-06,0.913,
2009-07,0.888,
2009-08,0.885,
2009-09,0.976,
2009-10,1.001,
2009-11,0.967,
2009-12,1.003,
2010-01,0.957,
2010-02,1.036,
2010-03,1.132,
2010-04,1.112,
2010-05,1.098,
2010-06,1.147,
2010-07,1.174,
2010-08,1.159,
2010-09,1.233,
2010-10,1.222,
2010-11,1.196,
2010-12,1.211,
2011-01,1.168,
2011-02,1.166,
2011-03,1.229,
2011-04,1.187,
2011-05,1.223,
2011-06,1.310,
2011-07,1.358,
2011-08,1.394,
2011-09,1.423,
2011-10,1.406,
2011-11,1.330,
2011-12,1.263,
2012-01,1.258,
2012-02,1.303,
2012-03,1.317,
2012-04,1.232,
2012-05,1.237,
2012-06,1.282,
2012-07,1.353,
2012-08,1.312,
2012-09,1.353,
2012-10,1.411,
2012-11,1.254,
2012-12,1.316,
2013-01,1.503,
2013-02,1.645,
2013-03,1.381,
2013-04,1.360,
2013-05,1.293,
2013-06,1.346,
2013-07,1.348,
2013-08,1.416,
2013-09,1.358,
2013-10,1.297,
2013-11,1.277,
2013-12,1.400,
2014-01,1.314,
2014-02,1.293,
2014-03,1.287,
2014-04,1.292,
2014-05,1.305,
2014-06,1.380,
2014-07,1.417,
2014-08,1.453,
2014-09,1.497,
2014-10,1.539,
2014-11,1.345,
2014-12,1.506,
