"",BBK01.OEYB01L,BBK01.OEYB01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:04,
2002-01,277.687,
2002-04,271.770,
2002-07,271.529,
2002-10,268.206,
2003-01,273.095,
2003-04,268.356,
2003-07,272.157,
2003-10,274.324,
2004-01,269.835,
2004-04,268.073,
2004-07,265.573,
2004-10,265.516,
2005-01,261.319,
2005-04,258.744,
2005-07,259.625,
2005-10,241.352,
2006-01,230.267,
2006-04,221.337,
2006-07,216.405,
2006-10,212.859,
2007-01,203.065,
2007-04,199.242,
2007-07,206.781,
2007-10,209.938,
2008-01,218.046,
2008-04,204.472,
2008-07,230.667,
2008-10,228.481,
2009-01,221.025,
2009-04,214.550,
2009-07,176.572,
2009-10,170.816,
2010-01,167.065,
2010-04,164.855,
2010-07,160.701,
2010-10,157.653,
2011-01,151.853,
2011-04,146.495,
2011-07,145.542,
2011-10,139.670,
2012-01,137.863,
2012-04,135.174,
2012-07,133.202,
2012-10,129.144,
2013-01,127.311,
2013-04,125.592,
2013-07,127.047,
2013-10,126.530,
2014-01,123.340,
2014-04,120.401,
2014-07,115.752,
