"",BBFB1.Q.N.DE.A2.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A2.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:28,
1991-01,398.219,
1991-04,459.689,
1991-07,267.075,
1991-10,490.096,
1992-01,136.994,
1992-04,614.086,
1992-07,603.414,
1992-10,623.831,
1993-01,603.882,
1993-04,657.624,
1993-07,670.232,
1993-10,683.153,
1994-01,1296.783,
1994-04,1209.279,
1994-07,1216.712,
1994-10,1234.306,
1995-01,260.446,
1995-04,277.873,
1995-07,180.976,
1995-10,250.751,
1996-01,1098.597,
1996-04,1151.341,
1996-07,1201.005,
1996-10,1259.697,
1997-01,1538.359,
1997-04,1655.208,
1997-07,1526.264,
1997-10,1615.104,
1998-01,352.591,
1998-04,513.695,
1998-07,346.884,
1998-10,396.375,
1999-01,638.071,
1999-04,742.748,
1999-07,711.780,
1999-10,785.822,
2000-01,911.457,
2000-04,1106.991,
2000-07,1107.042,
2000-10,1518.273,
2001-01,1344.093,
2001-04,1676.760,
2001-07,1559.606,
2001-10,1464.976,
2002-01,3932.810,
2002-04,4073.831,
2002-07,4057.674,
2002-10,4355.801,
2003-01,2662.113,
2003-04,2908.965,
2003-07,2488.561,
2003-10,2319.886,
2004-01,1192.982,
2004-04,1198.489,
2004-07,968.533,
2004-10,1013.142,
2005-01,1302.589,
2005-04,1427.305,
2005-07,1314.201,
2005-10,1286.304,
2006-01,370.350,
2006-04,729.981,
2006-07,276.847,
2006-10,277.106,
2007-01,1687.910,
2007-04,2587.723,
2007-07,1657.179,
2007-10,1603.728,
2008-01,872.154,
2008-04,1718.299,
2008-07,677.255,
2008-10,610.249,
2009-01,1203.713,
2009-04,1541.078,
2009-07,668.104,
2009-10,781.106,
2010-01,811.481,
2010-04,1605.612,
2010-07,955.074,
2010-10,945.082,
2011-01,1372.869,
2011-04,2272.048,
2011-07,1392.748,
2011-10,1328.480,
2012-01,969.591,
2012-04,2010.689,
2012-07,1100.536,
2012-10,771.161,
2013-01,999.704,
2013-04,1801.916,
2013-07,958.302,
2013-10,921.770,
2014-01,1849.408,Provisional value
2014-04,2471.701,Provisional value
2014-07,1769.494,Provisional value
